 	l	ha	scritta	</S>
a20	0.357169526	0.269155958	0.2238195996	0.1498549073
a31	0.40521506	0.261681116	0.2064009956	0.126702823433
a35	0.435376963333	0.254459968667	0.1968391032	0.113323959278
a31	0.459036825111	0.234334842222	0.189952075067	0.116676250559
a35	0.490253037704	0.213997436074	0.185379510822	0.11036999392
a31	0.493471899901	0.195829647558	0.183966281074	0.126732150307
a41	0.451628178634	0.193415073386	0.199977352558	0.154979397902
a31	0.380773150878	0.204958939795	0.228311678719	0.185956236367
a11	0.314277371426	0.204758554932	0.241589005573	0.239375075456
a18	0.262897448475	0.206958823311	0.247197871858	0.282945871152
a13	0.220559404558	0.216656868437	0.261097113953	0.301686621051
</S>	0.203696724579	0.219450688219	0.268616314977	0.308236274526
