 	guardando	le	nuvole	capisco	che	piove	</S>
a8	0.1143953374	0.105609144	0.1256187545	0.1466736286	0.153470837	0.218635106	0.135597189
a23	0.103183191067	0.103844433533	0.121028561567	0.151326992867	0.168911414333	0.231997570267	0.119707832733
a31	0.123651324356	0.118431849044	0.129940686589	0.142135174956	0.154602470444	0.221110958756	0.110127542378
a17	0.146404842785	0.138209024681	0.14761655853	0.131984511652	0.125243036015	0.211284663319	0.099257366926
a31	0.146540283795	0.13919540116	0.141335499777	0.134389392151	0.113179549538	0.229049962973	0.0963098989753
a10	0.137277106998	0.12268687432	0.123002875726	0.128579684717	0.108273739846	0.265214216924	0.114965485525
a20	0.129550938399	0.106382227573	0.111460494375	0.118683159972	0.0992705579487	0.301366964375	0.133285645775
a8	0.128736628966	0.0933613715043	0.095715223525	0.114735581724	0.0883987573162	0.330949623725	0.148102803592
a17	0.121991640655	0.0893086557481	0.0903053513083	0.128415334975	0.0861776187721	0.332264943908	0.151536443464
a13	0.118211304185	0.094494589916	0.0960070865028	0.128347420792	0.0849066505907	0.329861855969	0.148171083421
a20	0.125275182462	0.096222791972	0.0979537663009	0.104390335997	0.0779934596636	0.31704408379	0.18112037634
a31	0.136657930154	0.0887428334573	0.089027492367	0.091826166999	0.0731688557545	0.31952043473	0.20105628538
a37	0.145608882985	0.0804419970858	0.0814811284557	0.0870339082663	0.0723579834515	0.333953909243	0.199122198327
a31	0.155666619528	0.0755081877619	0.0734500557519	0.0944935757554	0.0776728587505	0.338837092814	0.184371620176
a0	0.169176009843	0.0763745207873	0.0710209107173	0.103589235385	0.0803119293835	0.334532587338	0.164994812592
a31	0.171930328548	0.0821934292624	0.0731529977058	0.102977107928	0.0744190835945	0.332840739779	0.162486311464
a10	0.164885717283	0.0881056287541	0.0760937909019	0.112499389843	0.0711020967315	0.336725983926	0.150587387221
a39	0.155679359794	0.092872118718	0.084369774234	0.122094529614	0.0672860109772	0.334859827442	0.142838383807
a46	0.136180584631	0.0924093662393	0.0862746296113	0.118434033071	0.0728841333257	0.338198475947	0.155618788936
a8	0.121690934817	0.0925029982131	0.0871212010038	0.115762062357	0.0986166688419	0.325838227316	0.158467922979
a20	0.121270104246	0.0936219363377	0.0884593358679	0.114619024986	0.113781966947	0.303520117105	0.164727528993
a8	0.123117086982	0.0966777203126	0.0916500026226	0.122708059795	0.123143124982	0.282784457568	0.159919552464
a46	0.121623874447	0.0993687469709	0.0955420900075	0.133820185132	0.136681687061	0.265845291723	0.147118132955
a8	0.125683659502	0.102751079524	0.0993071519358	0.138689761977	0.137141203687	0.240146422841	0.156280722985
a31	0.129963783234	0.104442243801	0.0990614627119	0.134255083126	0.131101909962	0.218606197214	0.182569311662
a20	0.130614451558	0.099206527247	0.099452488464	0.130376984175	0.123695076654	0.215765125071	0.200889343887
a31	0.136292282866	0.0979740448357	0.103353337915	0.136767795125	0.118641505818	0.204983698357	0.201987323296
a28	0.129658575689	0.0980997012119	0.105124352972	0.141301381908	0.124976587939	0.198103628786	0.202735757032
a46	0.119988280663	0.0982358033373	0.107136307191	0.146548834903	0.147179483313	0.199854451595	0.181056840944
a23	0.125065556954	0.100220101712	0.104721783064	0.147189631434	0.165120925771	0.204608671198	0.153073339915
a39	0.131091210351	0.101705470104	0.101572100821	0.143539252678	0.161767881924	0.212247018799	0.148077074838
a31	0.137307311584	0.105502374035	0.100601996007	0.131989793626	0.139954879641	0.205317653	0.179326002879
</S>	0.142661034692	0.107782301317	0.100172599104	0.123784701613	0.12629517932	0.194189257	0.20511493844
