 	nella	pasta	vuole	sale	</S>
s	0.326498916885	0.110019445186	0.062044406594	0.0066169779	0.494820328048
t	0.614661868962	0.133392426729	0.0829525655313	0.0040399418	0.164953267933
i	0.675872069654	0.154115067243	0.112600125177	0.00225393919333	0.0551588606093
p	0.412946074551	0.204675362414	0.357312898392	0.00609010075778	0.0189755672498
à	0.31972736285	0.224076534138	0.441649709464	0.00742167273926	0.00712469338327
s	0.321729766283	0.227534131379	0.345575153155	0.1018656574	0.00329526222776
t	0.146769694228	0.140016352673	0.247154320652	0.463758019133	0.00230158090925
a	0.0552192365427	0.154417426438	0.301757269817	0.485111387078	0.00349466636975
t	0.0357843255142	0.170449703146	0.333917258939	0.454530043059	0.00531866122325
è	0.0567587188381	0.196654548715	0.278562955313	0.445229547286	0.0227942418411
l	0.076037474946	0.228892522905	0.302569481771	0.362753215362	0.0297473226137
i	0.053203509482	0.197649127635	0.33760867059	0.336968687454	0.0745700288712
à	0.0214711472273	0.180145219212	0.589942050197	0.115158019151	0.0932835596237
l	0.0113709528091	0.091556848404	0.499965830066	0.357895860717	0.0392104634412
a	0.00736573853637	0.0393476888013	0.183353427689	0.444911511572	0.325021618047
</S>	0.00402050441818	0.0273523054006	0.107963640345	0.231909722786	0.628753839024
