 	si	è	rotta	la	coppa	</S>
e	0.206756143831	0.198312988705	0.09219984289	0.0013347766	0.0127901755	0.488606085177
g	0.212949389277	0.367502766235	0.212044520963	0.0162453305333	0.0283742888333	0.16288372996
l	0.090237285759	0.363575188745	0.402311273654	0.0372082515111	0.0461921789444	0.0604758514367
à	0.12823790992	0.294906152915	0.481237807885	0.0368111071704	0.0323282593148	0.0264787870522
s	0.147225339307	0.267956890972	0.376622669295	0.116250483723	0.0829092367716	0.0090354143074
t	0.0973103424357	0.376364953657	0.230743173098	0.195216827908	0.0972006394905	0.00316410705247
i	0.0662472158119	0.443500631219	0.253378377699	0.190334959303	0.0390114627302	0.00752739691749
e	0.0274308840706	0.255819206406	0.4203112459	0.150566031101	0.136196553243	0.00967613873916
c	0.00986938270687	0.100249891802	0.335017001967	0.153743785034	0.396200301081	0.00491968057972
ò	0.00363002880962	0.041980812934	0.164771937322	0.166869927011	0.61945650036	0.00329081102657
p	0.00128210000054	0.017486453878	0.140734419107	0.099656669337	0.738981283453	0.00185911799552
p	0.00142552954018	0.0466186701927	0.095934952369	0.308842198112	0.545426141151	0.00175255258517
a	0.00142806717473	0.0568474711309	0.0383804362563	0.378337700704	0.213100320384	0.311906021728
</S>	0.000731635329365	0.0302766551655	0.0210403123281	0.203635552352	0.123043725192	0.621272110864
