 	sono	vestita	</S>
ì	0.0931991664225	0.421328687	0.4854721382
m	0.0936194351742	0.734102775667	0.172277778867
e	0.0668871680914	0.832833168556	0.100279662289
n	0.0644915283638	0.868254266185	0.0672542140963
d	0.0509637617879	0.925322742062	0.0237135168121
i	0.046453420596	0.631429444021	0.322117163051
m	0.065466743532	0.509110274674	0.425422981684
è	0.0912670511773	0.582946231558	0.325786721228
n	0.0609493740591	0.598663120519	0.340387530409
i	0.024513394093	0.48149948784	0.49398714347
</S>	0.0124002006565	0.24778038542	0.739819436735
