 	li	vestono	i	genitori	</S>
t	0.340100718995	0.0806250840222	0.0115132111685	0.078866765	0.48889419465
u	0.358630922998	0.395401651341	0.0115113047934	0.0697292584667	0.164726791817
s	0.141955428999	0.708751917114	0.00401088756833	0.0894074562889	0.0558742605397
i	0.0638885656663	0.818905672371	0.00152258052844	0.0960842085296	0.0195989684679
n	0.0347182680221	0.611044097457	0.000910727481813	0.342298015943	0.0110288620106
d	0.0645567208074	0.456148882486	0.0284642306939	0.442297252981	0.00853285900353
ì	0.104309298269	0.679582564162	0.0372838915613	0.17135896866	0.00746520066784
n	0.065326898043	0.519415219921	0.0129011259838	0.390756492887	0.0116002192226
n	0.0325719166343	0.21768352184	0.259020149461	0.481047864296	0.00967653874087
o	0.0242725368781	0.343506770613	0.34069730908	0.265058978099	0.0264643925803
n	0.0107475609694	0.341703779304	0.11379896564	0.501084249366	0.0326654836601
e	0.00583257813313	0.379640068868	0.0381705518667	0.556948499789	0.0194083493534
i	0.00617694394438	0.420622416289	0.0130799331556	0.53328364993	0.0268370977845
g	0.00429637821479	0.18146632543	0.00571077955187	0.783287949977	0.0252385742615
e	0.00234743123826	0.108436998477	0.00308966544062	0.702582516659	0.183543353754
n	0.00146437463409	0.0718029419857	0.00129810647021	0.673851205553	0.251583355585
i	0.000513672319363	0.0262911151552	0.000611674203403	0.751208145184	0.221375396195
t	0.00136053522645	0.0146425123851	0.0010253259478	0.784132605061	0.198839026065
ò	0.00162685845148	0.0102551293617	0.0011526429471	0.906959198354	0.080006164355
r	0.00148904555983	0.00708148868723	0.00209008244687	0.939341532785	0.0499978441183
i	0.00143521076802	0.00423753171474	0.00240147405042	0.675052807595	0.316872969039
</S>	0.00071777640612	0.00213113058587	0.00120137487741	0.410156973797	0.585792734519
