 	mio	padre	ha	lavorato	sempre	</S>
o	7.86476504e-05	0.483102043708	0.0161352251405	0.000937107325	0.009472500769	0.490274479538
c	0.000744154673467	0.747652464569	0.0798822997135	0.005104440775	0.00317996371	0.163436697329
i	0.00192351189116	0.743312641523	0.192136746571	0.00683186449167	0.001081826364	0.0547134452343
ù	0.00166906576939	0.699056700508	0.277254438857	0.00318836928389	0.000363098388187	0.0184683579739
r	0.0013240141288	0.584668910169	0.340697342952	0.0619420353146	0.00485787720992	0.00650984178707
i	0.00813141794293	0.58697191339	0.303441127651	0.0917746641049	0.00684863796997	0.00283222324236
m	0.0125952158143	0.558352297797	0.193823299217	0.166326180368	0.06643928789	0.00246365419412
m	0.0931052541048	0.532801769266	0.104398389472	0.181568196789	0.0860938095867	0.00203250487661
u	0.117065211592	0.436607256422	0.259353116224	0.148087555596	0.0348708484856	0.00401599473744
è	0.0390894696937	0.217022895474	0.583965252075	0.137545073099	0.0175190293049	0.00485832346581
p	0.013392202171	0.201594045158	0.585442900692	0.128584438933	0.066889064578	0.00409735514194
o	0.00496920072367	0.165823645053	0.382794803564	0.277800786311	0.133135211526	0.0354763384806
l	0.00197391287456	0.101041298351	0.220937814521	0.323146512104	0.305060047175	0.0478403954935
e	0.00086025721152	0.0641047594503	0.129517931507	0.381148860701	0.378580549058	0.0457875944978
m	0.00104079122384	0.0518782098168	0.0838298838357	0.3783258069	0.442464736353	0.0424605391659
i	0.00107605574095	0.0373954752723	0.0443852169452	0.397858838967	0.480875798784	0.0384086140553
m	0.000647854559983	0.0216297904241	0.0264057693151	0.387327571656	0.527230319595	0.0367586714518
m	0.0115693093667	0.0715312334747	0.0164108077717	0.293126699219	0.593826739865	0.0135351825506
è	0.0149243042078	0.0813505609016	0.0106573900906	0.241893577406	0.407676809955	0.243497389484
n	0.0049761784825	0.0274126022772	0.0075989025302	0.117812378469	0.520831513318	0.321368475295
a	0.0016597640095	0.0093820711174	0.0064632860434	0.0690579444897	0.504057299106	0.409379653898
p	0.000559972994837	0.0043748324308	0.00595893388113	0.0521407001632	0.476873097702	0.460092467966
à	0.000193380237019	0.00382461991027	0.019263477627	0.0944209487211	0.637825515901	0.244472069322
n	6.59403796463e-05	0.00259106237009	0.022453771709	0.0962961602404	0.562875158634	0.315717913107
t	0.00148000765912	0.00970942569003	0.0123081840697	0.15355822408	0.549954739545	0.272989404036
a	0.00194995140335	0.0119166190743	0.00716093619323	0.16675999716	0.393081389848	0.419131091012
</S>	0.000975001977133	0.00596159380365	0.00360897185162	0.08409503228	0.206610509924	0.698748895506
