 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.358820119927	0.130626158267	3.7921399e-05	0.010104229355	0.0002651643975	0.0012603723	0.0010309308775	0.0119192003134	0.116768948255	0.369167014388
n	0.362825461809	0.163783866089	0.000650956059	0.276406123118	0.0003753617525	0.0295592013333	0.000429403780833	0.0039797527877	0.0389256251213	0.123064262156
è	0.17744816577	0.32429211203	0.001468985153	0.400942151039	0.000747414884167	0.0394949575111	0.000261360013611	0.00133676559723	0.0129778885882	0.0410301992633
g	0.112381056023	0.423246887343	0.00374640651767	0.305387870346	0.00405609876139	0.12069562957	0.00739398715454	0.00501065772608	0.00439240907415	0.0136890414141
r	0.0484305827743	0.301587405781	0.0407019015059	0.410768176782	0.0254130355871	0.15003208219	0.0105913780515	0.00626517234869	0.00153225466418	0.0046780420807
a	0.0296036552581	0.366615301927	0.0510242199353	0.447156785594	0.029748405229	0.0670231030633	0.00446012573717	0.00212759548556	0.00051640635186	0.00172437732023
t	0.016812128586	0.336328083976	0.0342682604118	0.426860361865	0.0266496297763	0.118309771021	0.0125111026324	0.0128252910912	0.012936984805	0.00249833090674
s	0.009875313062	0.142575964425	0.332869377804	0.293343435622	0.0461157245921	0.121438213544	0.0168968255441	0.0171028083637	0.0170845759927	0.00269774539025
a	0.005400383854	0.104934477908	0.417655961035	0.329457676874	0.0370863007307	0.0844961543847	0.0076235259147	0.0064765622879	0.00574963445523	0.00111932921808
m	0.0146565617513	0.137926382636	0.145499746778	0.470305558958	0.0157674314436	0.129389031462	0.0156911687049	0.0456346889293	0.0233938762184	0.00173553010603
à	0.0164848288504	0.104885950879	0.0542599049927	0.558348052986	0.00874346494787	0.147168690487	0.0196478430683	0.0593818230431	0.0292771017561	0.00180232237201
i	0.0058023443468	0.0538705716263	0.0194423685383	0.708551484329	0.00373159298929	0.169228383496	0.0082545778361	0.0205712432777	0.00980773559803	0.00073971209067
è	0.00206747103893	0.0499640132088	0.0066404376202	0.703121961443	0.0018845991031	0.212535214499	0.0090241952587	0.0107731996226	0.00337970004201	0.000609212673557
n	0.00102271560631	0.0458773154029	0.00612239984007	0.464977102814	0.0196576882677	0.209097104833	0.0296541777529	0.0793021495409	0.140621106194	0.00366821010452
a	0.000557740144437	0.019151607401	0.00596162568002	0.333926183271	0.0251376654826	0.293150808278	0.0312082077843	0.0987337532803	0.186937982731	0.00523439096817
g	0.000197629850479	0.0154065317337	0.00218483375667	0.39352776109	0.00868965742087	0.391191402759	0.0137217413281	0.0637979778601	0.108584781577	0.00269764264939
r	0.000393046953493	0.0144415269779	0.0256338373822	0.28021735703	0.0388676913403	0.28632031092	0.095058203976	0.167460635953	0.0904744731923	0.0011328545598
à	0.000471240684498	0.00697861539263	0.0334750620341	0.177250262343	0.0487931732201	0.34129971364	0.120066737292	0.172134140018	0.0494771923974	0.0500538288033
m	0.000761125784833	0.0110823401309	0.011767469118	0.124651452781	0.0172146503467	0.34355092788	0.041904367064	0.081162494706	0.298907626132	0.0689975426011
m	0.00133071776161	0.0118209738436	0.029274363906	0.059923245927	0.0159756782822	0.137942808293	0.0857719210213	0.259251164902	0.372941925844	0.025767184024
a	0.000937471282037	0.0047729260212	0.0345590920803	0.0790866416423	0.0146792316074	0.289754278431	0.0993126748404	0.295610565934	0.135622381415	0.0456647048317
s	0.000506750468846	0.0076469672804	0.0115843834818	0.117445040547	0.0050793152958	0.431373866144	0.0358007665468	0.131060562945	0.206904272805	0.0525980273272
o	0.000362326537949	0.00854648654347	0.0039250736876	0.118891983516	0.00187369172993	0.487805675381	0.0152907055156	0.077533837315	0.239394087602	0.0463760848257
n	0.000122707350583	0.00300974753449	0.00131458618253	0.081173974172	0.000671683457977	0.424021490127	0.0065366002052	0.0323136624383	0.404885312534	0.0459501990752
a	4.2409434161e-05	0.00114382176483	0.000443022871843	0.0584217290573	0.000264213083659	0.384371848376	0.00337337380173	0.0170449570461	0.467077917511	0.0678166804917
d	2.02920104203e-05	0.00531498293828	0.000160537196281	0.0751272910191	0.000175769368886	0.407642122792	0.00285510606724	0.0306871449154	0.40362572917	0.0743910025972
e	1.29617223068e-05	0.00671040482943	0.000172980423094	0.0890990670064	0.000218212519629	0.418659047597	0.00304557805575	0.0351833370718	0.36641014639	0.0804882332991
r	1.56752099356e-05	0.00291814212648	0.000203772144365	0.0761946590021	0.00036907358321	0.403954792532	0.00713339251858	0.112503947791	0.314459615463	0.0822468950997
f	7.86131483119e-05	0.00180536296216	0.0197266065581	0.0432028610007	0.0162009971144	0.199530667511	0.0543298778395	0.23644705593	0.397555398488	0.0311225520332
ò	8.99182212373e-05	0.00086538017072	0.0261985252504	0.0260479140002	0.021266484953	0.122604285837	0.0651249976298	0.178511843743	0.288156469496	0.271134177011
m	0.00197664273555	0.0146214233202	0.0113996996478	0.0220509823334	0.00917446773257	0.0772407786123	0.0233962073933	0.088811899681	0.401658649832	0.34966920887
m	0.00291392607852	0.0195623120401	0.00889598291593	0.0210084317778	0.00762236327752	0.0434901062041	0.0446431989644	0.321502179894	0.412523046611	0.117838412016
u	0.00128065715835	0.00692568255647	0.00539603957764	0.0104645919259	0.00502101610567	0.0329449224014	0.0501070375188	0.369972350145	0.165859728537	0.352027939865
</S>	0.000640390527445	0.00346601169288	0.00269813839731	0.00641721446295	0.00251121827259	0.0317590417007	0.0250752555554	0.185017960343	0.0972882387685	0.645126484933
