 	un	forno	che	fa	buon	pane	</S>
è	0.0221780472088	0.0008874156118	0.160682605895	0.314902872812	0.000894936	0.0082875233	0.49216660325
n	0.0267429404029	0.000965580847267	0.215995728632	0.387233454271	0.1998686628	0.00361670613333	0.16557691525
a	0.0441561874676	0.00168611439242	0.239830542877	0.38661514809	0.269335265933	0.00172236962211	0.05665437269
f	0.0475279484892	0.00378567679747	0.299332780959	0.41180062603	0.217400200311	0.00118492941837	0.01896785485
ù	0.0327224771631	0.00386404353249	0.328617726986	0.428373638677	0.19883427377	0.00114667678612	0.00644120420333
r	0.0272472032544	0.00402773794416	0.378639598995	0.422837886226	0.156110018257	0.00884505577537	0.00229253557444
n	0.0162271716181	0.320317935148	0.279698465332	0.231060057742	0.139806420652	0.0120385766918	0.000851443249013
o	0.0115199900394	0.424156934149	0.153333740777	0.319017608247	0.0845239181173	0.00581799166393	0.0016298697072
k	0.0125994228465	0.144470321283	0.173570956926	0.400682432749	0.236153632706	0.0284996375546	0.00402359363573
a	0.0165800952822	0.052843833561	0.182961138975	0.396957050916	0.309747847569	0.0366989418515	0.00421106784524
i	0.0102489554607	0.019774625257	0.294965012992	0.478033440305	0.17434644919	0.0173327476172	0.00529876601508
k	0.0111717385202	0.0149042451557	0.335362904331	0.324122293435	0.186071783063	0.116008416872	0.0123586686717
à	0.0109925973067	0.0133706052186	0.243861421444	0.355809477812	0.192526771021	0.170674482291	0.0127647053906
n	0.00373356671057	0.00478990257287	0.168132059815	0.361195165937	0.304486507007	0.148691824097	0.00897104529687
n	0.00393496904519	0.0935388098576	0.104776249272	0.176457861979	0.390599339002	0.220887531366	0.00980529209896
i	0.0040475062384	0.122988793603	0.0774254330907	0.14289476066	0.321911049667	0.190662450455	0.140070050033
t	0.0020146081028	0.0411915516177	0.0562589976969	0.145077826887	0.483593069889	0.0905852611517	0.181278728111
s	0.0056905511676	0.0432703539726	0.0698209125656	0.122127363962	0.43696150663	0.259876188051	0.0622531388037
o	0.00633071763253	0.0438173755492	0.0551804391885	0.0861407363207	0.280107448877	0.319065950017	0.209357364268
m	0.00422548412084	0.0148867254947	0.0400975513962	0.0890678587736	0.455335599626	0.138097840672	0.258288994189
ì	0.00350457944741	0.00523300740937	0.0328672925654	0.0762550559245	0.422511851542	0.153955713557	0.305672537496
k	0.0021000640896	0.00197697512759	0.0215713916218	0.0532763683082	0.423006382181	0.172221711186	0.325847149832
a	0.00163035814027	0.000891466380263	0.0172368708073	0.0427201207694	0.426694260727	0.0937801823953	0.417046787277
l	0.000926656923823	0.000539436331154	0.0113520932024	0.0287197815898	0.405277673576	0.0865111294651	0.466673239092
ò	0.000691873570031	0.000421718935236	0.0089897276208	0.0217423642966	0.382933118459	0.150590363155	0.434630856364
</S>	0.00034623972815	0.000210900654896	0.0046710316404	0.0117757227983	0.194656250129	0.188760936577	0.599578978182
