 	Valeria	legge	il	giornale	</S>
e	0.497281407783	0.002401950974	0.0003452661705	0.011156227042	0.48881514985
V	0.578954662594	0.252338111125	0.0003573738045	0.00479321210867	0.16355666405
a	0.457256614198	0.484503577042	0.000309819185833	0.00278732358289	0.0551426574233
l	0.356250888066	0.555447252347	0.0109733646186	0.0582328500076	0.0190956237478
è	0.203328622689	0.698586817449	0.0143747344795	0.0766342312925	0.00707555909393
r	0.179147770896	0.64581832915	0.0277986070998	0.144622795054	0.00261243692598
i	0.118893717632	0.68002413305	0.0322815203066	0.167507225551	0.00129335584199
a	0.177929399877	0.753615211017	0.0109648236522	0.056846073117	0.000644438910663
m	0.191619076292	0.484553953672	0.0116454834941	0.310277508439	0.00190394905022
e	0.0702695260973	0.521198384557	0.0117392139734	0.394433320846	0.00235953620674
l	0.0294522330324	0.617216678186	0.0070991677998	0.339822304982	0.00640958805891
e	0.0154010725441	0.647459372729	0.0055539109366	0.323256270227	0.00832933245297
t	0.0105017223814	0.64549856091	0.00419658481553	0.330463945309	0.00933916158432
à	0.00868790156047	0.64298117697	0.00370544985718	0.335504732436	0.00912076871811
o	0.00822847295349	0.859777112323	0.00124246854306	0.124120972145	0.00663099342937
g	0.0093177079845	0.862117090774	0.000692081419687	0.120899418048	0.00697370924312
i	0.0071287446615	0.803584880258	0.000535295049896	0.150088969349	0.0386621245144
o	0.00591228035383	0.761701923419	0.000239701723299	0.17087667645	0.0612694321715
r	0.00444577315128	0.521968527806	0.00139563483777	0.41450633215	0.0576837313905
n	0.00331940121709	0.216057833935	0.0268901686793	0.693054700717	0.0606779171302
à	0.0034167798057	0.186532729312	0.0341081865114	0.653398750239	0.122543622377
l	0.0060101564019	0.267506393104	0.0126557978888	0.576272993413	0.137554715459
e	0.00530683287097	0.190589540701	0.00550350265327	0.424693715138	0.373906413153
</S>	0.00266474804098	0.0967719098505	0.00275764821214	0.236604608569	0.661201056577
