 	avete	fatto	già	le	verdure	</S>
i	0.371774185557	0.123816720535	0.0041759716308	0.00083932498	0.103082999019	0.396310856316
k	0.529047728519	0.233440460178	0.0685067958769	0.00188361364667	0.0346673437193	0.132454107682
à	0.554617826173	0.273968266726	0.112920395292	0.00212578794889	0.0118664650083	0.0445012646855
m	0.446085925391	0.224754698909	0.157584301764	0.072719990283	0.0824506674046	0.0164044153867
a	0.291322661797	0.175643359636	0.323744433921	0.096238288461	0.105983955334	0.00706733615223
t	0.219254715599	0.174535006545	0.422823107974	0.110180507854	0.0678189046433	0.00538778300741
o	0.204723836866	0.153572850182	0.466668965991	0.114983583951	0.0551835864644	0.00486719903914
g	0.185585316955	0.144717808061	0.535621901997	0.053081794317	0.0782580337381	0.00273518638305
i	0.107571143652	0.178749002687	0.592816857332	0.032399164539	0.0859860619994	0.00247778496102
à	0.104701331217	0.372001454229	0.481208985777	0.011052420513	0.0292603585198	0.00177544935367
t	0.074940173739	0.382358015743	0.263544078592	0.068907451071	0.204442156607	0.00580812965122
a	0.0536325312463	0.164371536248	0.396012979531	0.0899313844903	0.273378875536	0.0226726955504
l	0.0488117204154	0.0962671497493	0.49539738651	0.0705682289634	0.252379238512	0.0365762901835
à	0.0339621004718	0.0740643542498	0.31943926217	0.0637581848878	0.466607512837	0.0421685850612
c	0.0222866898239	0.192184891417	0.33491258739	0.0230753183959	0.396293769612	0.0312467522537
h	0.014733168418	0.210673799039	0.283333069663	0.159083480999	0.321023145204	0.0111533424846
a	0.00522860869933	0.070962107513	0.0958557202543	0.204085860465	0.287534642075	0.336333054328
n	0.00324294944978	0.027067795271	0.0481587775848	0.0746414569537	0.237046017698	0.609843008109
a	0.00281681606326	0.013024599257	0.0354585211949	0.0317276319279	0.242098315899	0.674874102703
</S>	0.00180376270163	0.0079274806285	0.0235203520975	0.016219190379	0.154056772949	0.796472416352
