 	non	sono	andati	</S>
e	0.347853787133	0.14397271941	0.040727854	0.4674457055
n	0.368309312378	0.34279296647	0.115886092333	0.173011668833
è	0.177816450793	0.595884988823	0.150875974111	0.075422561611
c	0.107099733598	0.785614442941	0.0786422913703	0.0286435318703
h	0.0894610911993	0.783034794314	0.0448439637901	0.0826601599568
u	0.0753817413998	0.693562844771	0.02321552693	0.207839909986
n	0.0304148020333	0.453017547257	0.334469294643	0.182098394662
e	0.0130408892444	0.231372038086	0.454594778214	0.300992312887
p	0.0072707401648	0.161495217695	0.487722989405	0.343511095962
a	0.00302646313827	0.0998349308983	0.552174013135	0.344964633654
m	0.00489087204609	0.0785844982994	0.576700621045	0.339824028451
è	0.00528758893203	0.0596355540998	0.715791227015	0.219285643384
n	0.00195226008401	0.0493611663666	0.653731195672	0.294955384461
a	0.000733914245537	0.0222358056755	0.432593737224	0.544436548154
</S>	0.000368609664068	0.0113919206678	0.224315626612	0.763923839077
