 	il	ladro	è	entrato	da	qui	</S>
o	3.2196175e-06	0.496725558393	0.00285766423	0.00051507551	0.000129658735	0.002461050385	0.497307667959
l	0.000251197866267	0.632490712798	0.0419564927433	0.14024195219	0.0175250484683	0.00175084855167	0.165783666154
à	0.000357468495422	0.565079387599	0.149094210914	0.203301904063	0.0253430684894	0.00154722480056	0.0552766928279
d	0.000162739139807	0.4370427692	0.178653626971	0.332373568021	0.0315266651631	0.00181273951685	0.0184278379809
r	0.00127420970127	0.468013153067	0.131147105657	0.359504492207	0.031906560721	0.00195208629562	0.00620234988697
o	0.00163178714276	0.657845574356	0.133931438552	0.162115820269	0.0384044425737	0.00377971588854	0.00229120241899
i	0.000549541834146	0.469896684785	0.119795339517	0.361361853423	0.0430926375246	0.00436889625618	0.000935040081997
m	0.000616259855608	0.213782470262	0.166807603172	0.411209101141	0.0934525958415	0.112305567045	0.00182639404967
b	0.0246693720852	0.136821188754	0.399338374391	0.162118788514	0.119299285947	0.155435124348	0.00231787700322
ì	0.0322633465267	0.0977866655847	0.411339771464	0.132765257638	0.200853912649	0.110124913449	0.0148661658877
k	0.0110482790406	0.0724143045282	0.315512503821	0.155382875879	0.31869291755	0.107065877816	0.0198832590626
e	0.00404994410687	0.0639502445094	0.266278002274	0.136839785293	0.351560529183	0.142433272605	0.0348881927875
a	0.00143268360169	0.0251484807698	0.116097737758	0.413778561764	0.266356986728	0.136896941868	0.0402885495958
p	0.000491350145966	0.0109954541899	0.0779429152527	0.499567107255	0.159325162576	0.231022664956	0.0206552885319
ò	0.000177564665789	0.0054029253633	0.0655510610842	0.377161335752	0.147182215859	0.380864511652	0.023660365844
t	0.000119041433063	0.0088325124211	0.0664278646947	0.324359578584	0.14785537362	0.430314527217	0.0220911132813
t	0.00594234751102	0.0226607334737	0.201699663232	0.145220849195	0.181258157873	0.430950749072	0.0122674930938
u	0.00782369375319	0.0203418543102	0.209664790611	0.0689434227317	0.134466155958	0.298390476357	0.260369579698
</S>	0.00391197875087	0.0101770543836	0.105268419605	0.0605048363658	0.083588092979	0.224468068179	0.512081524849
