 	Marika	è	che	si	sposa	domani	</S>
M	0.309718015065	0.13586791226	0.02720471528	0.00474577065	0.01092049665	0.01309476005	0.4984483569
a	0.640291511688	0.13812600822	0.0273917010933	0.0044774518405	0.0105122714925	0.012685094706	0.166516010258
r	0.810474853896	0.0728233202067	0.0494325206978	0.00399596523733	0.00353407120663	0.00423392984899	0.0555054011854
ì	0.736048037965	0.168753643402	0.0653017385659	0.00596173051244	0.00286469160221	0.00256516804066	0.0185050372815
k	0.465145805988	0.275667114467	0.131113431189	0.0992554229375	0.0088919099674	0.0136351258469	0.00629122411917
a	0.258722051996	0.294809581489	0.24036034373	0.177678544312	0.00982913822247	0.0163829449823	0.00221739512932
è	0.176541093999	0.25088275383	0.183383049577	0.109912912104	0.107741133974	0.170763466694	0.000775575939373
n	0.0876420399997	0.20089581461	0.206360878192	0.129638654701	0.144065361158	0.231046437231	0.000350798899791
a	0.0645055819999	0.219205318203	0.360855162731	0.2166763449	0.0524692582527	0.0861134168203	0.00017487711283
r	0.04062257	0.221406199401	0.405317317577	0.273386571633	0.0208134897842	0.0383431240168	0.00011066193051
m	0.0371537906667	0.155561607467	0.440764859192	0.333836787211	0.0102148257281	0.0223792783756	8.88025602367e-05
a	0.0309480842556	0.117174060156	0.385420773064	0.33245208907	0.0736130420427	0.0580273074952	0.00236462002348
s	0.0164103967852	0.148899796719	0.299119411021	0.30973997969	0.111776874014	0.110680680832	0.00337281918449
t	0.0399728582617	0.14033681224	0.359064717007	0.321141146563	0.0584411386713	0.079650322844	0.00139294710883
ì	0.0424808964539	0.0844526024133	0.287745939002	0.245326108854	0.15819335689	0.162685118515	0.0191159484736
à	0.0143163970546	0.0377054755044	0.112047226467	0.103230319615	0.364307108963	0.323520876172	0.0448725901579
v	0.00569223975487	0.0161967480348	0.0399603348557	0.0353261978683	0.334279616321	0.533697075391	0.0348478044826
v	0.019690152785	0.0383194741783	0.0959380708519	0.215635157289	0.149042849674	0.46950832643	0.0118660056909
r	0.024859311595	0.0541655823928	0.178610266951	0.528632819096	0.0519501967913	0.157583404677	0.00419841516363
i	0.00967765322647	0.0295914795776	0.125487866694	0.430263507719	0.0184475453304	0.0535262787923	0.333005622555
</S>	0.00483937965544	0.0148902189588	0.062819874912	0.21561615589	0.0100053182652	0.0279413633961	0.663887626277
