 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.497311192038	0.000153800147	6.4096234e-06	0.002323674065	0.00048888797	0.0412954766975	0.458420555379
n	0.549572817346	0.011088766239	0.0026913030752	0.00865196912167	0.239841305823	0.0238417353642	0.164312131379
a	0.563779759115	0.018675297413	0.00388272359173	0.00972409934056	0.319579056051	0.0180305718754	0.0663285100297
a	0.676729886372	0.010374747681	0.00163791444058	0.00865056808019	0.272046912794	0.00737502137913	0.0231849620799
f	0.399289583124	0.0238917491037	0.0187031828235	0.0411689373601	0.492667430931	0.0146706401264	0.00960853335997
o	0.418797382041	0.0720892030346	0.0270464716078	0.0606032124534	0.401477607877	0.0157996203521	0.00418655331999
r	0.426997484014	0.0734073486782	0.0250867058693	0.0809440108178	0.341244100192	0.0494027584274	0.00291761460666
à	0.350997784671	0.0312910580261	0.0227519557231	0.192202466939	0.339237250064	0.0607858775425	0.00273363280222
s	0.316325873557	0.012229062642	0.012755224341	0.212537222313	0.403926043355	0.0407016805808	0.00152489527741
o	0.241382609852	0.0147171840473	0.0116726587803	0.175989710771	0.466508074452	0.0447732291936	0.0449564936358
t	0.220429991284	0.0158112035824	0.0118078179268	0.166820696924	0.378662228151	0.144886955398	0.0615811283453
o	0.151952645095	0.00744149299413	0.00936604730893	0.133152402308	0.40505223605	0.198513205133	0.0945220332484
t	0.138405475032	0.00436727006471	0.00641337666964	0.112092980769	0.34314582535	0.288516938378	0.107058158416
s	0.0726203230107	0.0296277221882	0.0310582047899	0.264534736923	0.263543825117	0.298649579459	0.039965623072
o	0.0336648105702	0.0375598465961	0.0367969901333	0.292324899108	0.159024742706	0.147366081486	0.293262663957
m	0.31482452509	0.013285491532	0.0131438201811	0.101129514836	0.075985700902	0.103278692162	0.378352266252
ì	0.413741314363	0.00514694060886	0.0052258193451	0.0379637171453	0.173162982634	0.186983907387	0.177775287017
p	0.155950035121	0.00205404866781	0.00267076136643	0.0200645509151	0.225268234211	0.479141082462	0.114851285339
à	0.064571229607	0.00102301390846	0.0018188702293	0.0136131484717	0.208470744737	0.638429274154	0.0720737397797
s	0.024422307769	0.000454524742007	0.000946110716923	0.00664236689057	0.184970525579	0.725192641385	0.0573715269266
s	0.0168503525897	0.00180413630067	0.00242199867231	0.0110660651969	0.092531579193	0.847266030462	0.0280598323089
i	0.0131846302799	0.00214059882496	0.00257430683384	0.011187251409	0.0588030600643	0.676052616821	0.236057545436
n	0.0055806038433	0.000724052315387	0.000880891951013	0.004141521113	0.0299958960214	0.619478162274	0.339198888479
i	0.00337446641443	0.000251875912962	0.000316442528571	0.00179250881767	0.0187565390071	0.633369147425	0.342139019493
m	0.00307292260481	0.000232766409821	0.00029056629109	0.00151769475256	0.016161067669	0.661994359142	0.316730632498
è	0.00416110573494	0.000226298366138	0.000281861750927	0.00151230233085	0.0309010358897	0.810298986381	0.152618416833
r	0.00326706507831	0.000130485968244	0.000200388380872	0.00095564325695	0.0334807759632	0.860135562127	0.101830092944
a	0.00131742271427	9.85425494191e-05	0.000173198423184	0.000644526177017	0.0135362206544	0.633394587376	0.350835521648
</S>	0.000661857439385	4.92730697162e-05	8.66009909322e-05	0.000323563125558	0.0072584323272	0.364557143688	0.627063135824
