 	vuole	pianto	</S>
i	0.497855360988	0.001144778025	0.50099992275
t	0.522858423663	0.292092726658	0.185048906083
è	0.522551044554	0.390841312219	0.086607659361
l	0.598066538185	0.360007887406	0.0419255554537
i	0.471918819395	0.359684964469	0.168396200151
k	0.332455079465	0.46084442349	0.206700537984
l	0.114077471682	0.815796164497	0.070126412118
a	0.0477955444207	0.606786301499	0.345418182229
m	0.0314396578069	0.5287740205	0.439786351743
m	0.017322765369	0.8334686235	0.149208643991
è	0.0104633765563	0.610439371533	0.379097267074
n	0.0328214555188	0.447100887544	0.520077635691
o	0.0367890552996	0.392316941471	0.570893991897
</S>	0.0186198678398	0.19616343917	0.785216695948
