 	non	ha	che	li	aspettiamo	</S>
e	0.315805197825	0.102211074729	0.039434556412	0.042440608507	0.046181941276	0.45392661136
n	0.328353146942	0.230233388243	0.191853500471	0.0812460795023	0.0159270656093	0.15238679546
è	0.136756020981	0.281867729414	0.377936966824	0.145724846501	0.00584277019177	0.0518716265867
n	0.060930865327	0.211483939805	0.379153055608	0.3259871655	0.00339359188592	0.0190513445289
a	0.0300364147757	0.242482699935	0.396501268536	0.3188690685	0.00264463588197	0.0094659149763
t	0.0270068182586	0.275509999978	0.403368282845	0.1869824695	0.0995003493807	0.0076320707921
u	0.0255735337529	0.249416419993	0.435256217615	0.149123513833	0.132681549994	0.00794873049737
s	0.0213943989176	0.204133671998	0.388676312538	0.0867368359443	0.289284966865	0.00977382006579
m	0.153868263973	0.134465495999	0.288415177513	0.0655059939814	0.349681991288	0.0080630993286
ì	0.194381706258	0.0978358209997	0.322104339171	0.246071049327	0.129882613096	0.0097244734162
n	0.0654146041193	0.0588860343332	0.241156483057	0.377200949776	0.242150668032	0.0151912668054
o	0.0221655136231	0.0424694841111	0.136726916019	0.238383536592	0.329976012677	0.230278546602
m	0.0200322350244	0.088172019037	0.126270503673	0.117661866864	0.349459904226	0.298403472534
e	0.0191771907415	0.097763985679	0.113602509891	0.0882892769547	0.412639534742	0.268527504511
</S>	0.00975133597075	0.0549666518395	0.0807485979455	0.0955935684773	0.373189602371	0.385750252255
