 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.455482490858	0.032727154983	0.009500474775	0.0021463687	0.0011550738	0.000928009153	0.0055088492875	0.0334856690194	0.459065927612
n	0.456109047286	0.0597523599943	0.110140455258	0.157914417733	0.0446107953	0.00517378298633	0.00207785002083	0.0111926747494	0.153028632304
è	0.359400242762	0.102762911665	0.171946245086	0.237822609244	0.0656848067667	0.00665483832544	0.00095042949861	0.00376173924047	0.0510162139988
r	0.328028310254	0.120162443888	0.140970301695	0.191394096415	0.127956500589	0.0591273827718	0.0118709462579	0.00342045254082	0.0170695765321
t	0.203256152751	0.094067671296	0.263873833898	0.170358748805	0.164927226863	0.0786798031573	0.0156583259193	0.00340403045361	0.0057742101957
i	0.160885892684	0.0685536757653	0.492895324633	0.153159042935	0.0850226069543	0.0306509826191	0.00562593260643	0.0012537074092	0.0019528489269
s	0.0549470990947	0.0451268699218	0.464610174878	0.179862124312	0.171700250318	0.0640200702064	0.0118982143355	0.00679689298773	0.00103832437897
e	0.0195434573316	0.0352792659739	0.384633134959	0.233035068104	0.227833960106	0.0760411434021	0.0142656944785	0.00863590437358	0.000732434477657
s	0.0074274210772	0.0297379729913	0.337833004986	0.240448022701	0.255997113369	0.0910135078007	0.0210168091928	0.0155742595022	0.000951942543886
i	0.00289842505907	0.0231329466638	0.230491038329	0.256601547567	0.346787191123	0.0974628819336	0.0237187615976	0.0178824909354	0.00102471348663
t	0.00148021208636	0.0224026838879	0.190053992776	0.251844287189	0.344752590374	0.109360723311	0.0356193643992	0.0428651580798	0.00162097050088
t	0.00847311216212	0.0209198379626	0.121214970925	0.15491264573	0.458910893458	0.13375295777	0.0486888664664	0.0512968043099	0.00182990807029
à	0.0116130162874	0.0194968199875	0.0809030503083	0.234679600577	0.496497494486	0.0914094759233	0.0467262821555	0.0174983703866	0.00117587389343
a	0.00502815258113	0.0185552219958	0.0551473474361	0.316363133526	0.464672958162	0.0709426736411	0.0603565610518	0.00698999079553	0.00194394756448
n	0.00170874187904	0.0118001053986	0.0296389971454	0.205216968842	0.364841941054	0.119569649547	0.0694965690173	0.191803366932	0.00592366985483
k	0.00302372005968	0.0089414558662	0.0243837480485	0.107254030614	0.325594972018	0.187331986516	0.0831409996724	0.253974367311	0.00635471872494
ò	0.00364510826323	0.00909761428873	0.0242681536828	0.168063066871	0.417901587339	0.164520058839	0.111333446557	0.0899329781037	0.0112379906816
r	0.00192857409774	0.0206323500962	0.0952598472276	0.234771948957	0.32657176578	0.126812979613	0.126606460852	0.0541310833679	0.0132850174939
a	0.00117022169258	0.0237520128321	0.119158945743	0.231309562986	0.30149614526	0.132252996538	0.123818955617	0.0480444481226	0.018996751098
e	0.000419667486527	0.00985156907737	0.0465852618143	0.170803108662	0.421807591753	0.119754718846	0.164113095206	0.0322809007075	0.034384121366
n	0.000155389666509	0.00427060504246	0.0177294611714	0.0759380163873	0.337064047584	0.093703496282	0.154525028402	0.283569931236	0.033044056122
è	6.4441651503e-05	0.00175135356415	0.0074571430238	0.0449884592958	0.244122272861	0.0671274914273	0.250005972801	0.364841049745	0.0196418387073
p	4.16230321677e-05	0.00285330155472	0.00979769064127	0.0468695244319	0.214253035954	0.0513964698091	0.317591440934	0.348350749248	0.00884617100243
r	0.000467915571723	0.00402387268491	0.0123602832804	0.037349232144	0.180155816985	0.131894059936	0.272939836978	0.356055903083	0.00475309053414
ò	0.000603995125574	0.00228736311497	0.0062538610668	0.0259833317147	0.172075148995	0.140427934979	0.218743812326	0.176453086028	0.257171480945
n	0.000218520583525	0.000963834701657	0.00320567202893	0.0166393512382	0.072729733265	0.061467691993	0.109515890775	0.391832563676	0.343426758648
t	0.000514795901175	0.00129382214389	0.00328190344298	0.0106144404127	0.0896317580217	0.109418792664	0.194319490258	0.472601444559	0.118323574883
o	0.000609921328375	0.00128446328663	0.00232032756966	0.0082807909709	0.0968142506739	0.115283436421	0.203104723419	0.222628890186	0.349673221961
</S>	0.000305346606162	0.000660402301315	0.00121958991783	0.00581952723545	0.0525762273369	0.0603096915105	0.105905501709	0.134777558093	0.638426190981
