 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.462342698412	0.037025355661	0.000658889355	3.4178576e-05	8.6081591e-05	0.0113249524925	0.488527735179
ò	0.794774512804	0.0378196148203	0.000717607731667	3.00632215047e-05	3.5120711753e-05	0.00378037862019	0.162842637895
p	0.908677924268	0.0280600972068	0.00304213469056	0.00237670768534	0.00148960193467	0.00206849733442	0.0542850685941
u	0.881841241423	0.0310553307356	0.0623104362302	0.00319554509845	0.00197817428089	0.00151585165314	0.0181034509104
o	0.891556527141	0.0181395253119	0.0819713104101	0.00110618282682	0.000664290006697	0.00052343302737	0.00603873328785
G	0.67114922238	0.015397380504	0.0372718508034	0.0867500265329	0.167944332513	0.0192396992771	0.00224746891467
i	0.311435420793	0.288113212835	0.0326426559345	0.117552812378	0.223785571478	0.0254853556377	0.000984925029323
o	0.471981940264	0.374161403945	0.0287708799782	0.041536331926	0.0747149366527	0.00850483621023	0.000329589595878
v	0.542944700088	0.226108254315	0.0245675619927	0.0632695049087	0.100441004404	0.0424843148557	0.000184573570296
à	0.262869023363	0.473676594772	0.0277561713309	0.0723387059696	0.109304815135	0.0539136399952	0.000141020977099
n	0.108875443621	0.459249024724	0.024918505777	0.0517254396565	0.096205262045	0.258868035042	0.000158300886033
n	0.036816385688	0.173258574708	0.0179528925923	0.312461016552	0.132018157348	0.327316209681	0.000176745323344
i	0.0136934832103	0.0954845865693	0.303577166197	0.378447338851	0.088727008116	0.11734055156	0.00272981715245
j	0.0400670470701	0.0551630628564	0.408055627066	0.214954439617	0.203713155039	0.0724123728533	0.00563426071748
ù	0.0531976790234	0.297677333285	0.167123024022	0.165523059206	0.247212067013	0.0628781696178	0.00638870057249
r	0.0434424530078	0.376370455428	0.110071331341	0.141919739069	0.250203404338	0.0716436898726	0.00634902132416
i	0.0349143813026	0.176958099476	0.15976266378	0.14512100769	0.266899126779	0.157141376624	0.0592034002414
s	0.0154834100675	0.108622076925	0.15189338026	0.125264160563	0.28199193426	0.238278135541	0.0784669260805
e	0.0089760510225	0.0527828177417	0.08281471242	0.117086165188	0.30160210142	0.339085048514	0.0976531280268
è	0.253224798674	0.0571909809139	0.05354499414	0.0585505837293	0.142241029007	0.332885472838	0.102362128776
s	0.336755127891	0.044119473038	0.03029926138	0.0656422682431	0.226180248202	0.259374920946	0.0376286765587
s	0.115423337664	0.0195601304127	0.0184655636933	0.162318336081	0.480709582734	0.189034686649	0.0144883579196
u	0.0391122802663	0.0107350601376	0.00812902879777	0.149222894794	0.391689661578	0.202453435216	0.198657657507
</S>	0.0195880116507	0.0058327300688	0.00505648589888	0.075553941547	0.200135281789	0.304026887608	0.389806698754
