 	se	vieni	a	casa	ogni	sabato	</S>
a	0.463681707466	0.014907513845	0.0198353347295	0.001186368913	0.0004633102	0.0900043811495	0.409921381965
n	0.464020232522	0.0293839962817	0.0279281019098	0.290012390738	0.02198585551	0.0300092925478	0.136660194633
è	0.395760250874	0.0449463297606	0.0698462209699	0.402909931579	0.0309306369367	0.0100340141576	0.045572656306
r	0.375089956725	0.0726526049202	0.102336040323	0.371170878526	0.0579136774122	0.00553500386253	0.015301862786
t	0.137637393342	0.0626450036401	0.380638660108	0.344165588042	0.0654235856707	0.00426239242084	0.005227400861
i	0.0571432475473	0.0488829632134	0.489340826703	0.364709681214	0.0363745464236	0.00170760386828	0.001841095906
è	0.0203990383358	0.0866686244045	0.220120792234	0.622909627071	0.0485428934745	0.00063660004076	0.000722355638667
s	0.0091632654986	0.0961907734682	0.165059937411	0.60038043569	0.0898829044915	0.0378238979369	0.00149872157289
s	0.0082067416662	0.0571214654894	0.431465125804	0.34354813223	0.0856100768305	0.072123255979	0.00192520045763
u	0.0061726141554	0.0343457091631	0.454028210268	0.365446681077	0.0897301576102	0.0478242963263	0.00245237078588
k	0.00721370281847	0.0666919713877	0.223406288423	0.527086327026	0.11325998587	0.0582473847754	0.00409436376196
u	0.00736618792949	0.0719371857959	0.140689389141	0.549402799009	0.15750136529	0.0663604545918	0.00674260275399
à	0.0027158225665	0.039402699932	0.0555120777137	0.58466008967	0.23223312843	0.0637297078639	0.0217464575847
i	0.000989750318833	0.023966916644	0.0278430242379	0.608394896557	0.235309216143	0.0584293226213	0.0450668635282
s	0.000954373536278	0.019986664548	0.0718953980793	0.508798892186	0.190534968714	0.139286134207	0.0685435511761
à	0.000931974811893	0.015187616876	0.0808215446831	0.270660197395	0.114632322905	0.454876371402	0.0628899687254
m	0.00247971357043	0.029839712652	0.106895270218	0.267568929132	0.0727497609683	0.486678030467	0.0337885995751
b	0.00372360859014	0.0354509455507	0.121058057739	0.245075868144	0.0537036826561	0.524690750156	0.016297103625
a	0.00197230410931	0.0127665370336	0.0459484724297	0.0887524968147	0.0277551708854	0.499748412052	0.323056616642
</S>	0.000987959173555	0.0064934592918	0.0229934994899	0.0520474569073	0.0206770819427	0.259985649026	0.636814908321
