 	entrò	da	qui	</S>
m	0.048651816	0.05062971949	0.4139660975	0.48675237
b	0.0480793343333	0.253857283163	0.526599239167	0.1714641014
ì	0.0967019691111	0.503779927721	0.336916813056	0.0626012242
k	0.112111239037	0.466628592574	0.394177697685	0.0270824164
e	0.046045518679	0.336564007525	0.559641499228	0.0577489314667
a	0.286261995893	0.250751949175	0.395033251743	0.0679527877222
p	0.382078182964	0.217295049725	0.365928369248	0.0346983998074
ò	0.149480917821	0.296262719908	0.522476503083	0.0317798579358
t	0.0746388817737	0.378032763303	0.525575531028	0.0217528364453
t	0.0483241939912	0.354961887768	0.584317440343	0.0123965089484
u	0.0166154932637	0.199782052089	0.467664246781	0.315938220649
</S>	0.00860544443185	0.101754210294	0.269336653391	0.620303685325
