 	quando	è	arrivato	Giovanni	Anna	stava	ancora	cucinando	</S>
m	0.48665666625	0.01142458121	0.0011972488585	0.00014739002	0.000772524805	0.000246067955	0.001166351425	0.0882551137878	0.410134060065
ò	0.789877455417	0.0378528554033	0.0046231945195	0.000157447257667	0.000763856849567	0.000190962516193	0.00040412782176	0.0294185471226	0.13671152676
t	0.882053248472	0.0436447418011	0.0061896906065	0.000313121370222	0.00484393373109	0.00643329314992	0.00101685160401	0.00983638853065	0.0456686691749
t	0.610201184157	0.034225153267	0.123258483636	0.19726671158	0.00662595431036	0.00856783138331	0.00122435521817	0.00330907618832	0.0153212119303
e	0.352590042719	0.0896900037557	0.237369081212	0.280422840527	0.0294129051701	0.00383018362777	0.000471788089557	0.00110315917254	0.00511000085807
è	0.59849817424	0.0936443462186	0.155555557037	0.111228125876	0.036585068301	0.00219717868671	0.00021766744791	0.000367779644201	0.00170610185566
s	0.68257873808	0.0711861283729	0.094139658979	0.0601655176589	0.0277783800113	0.047493334873	0.014042123834	0.00182385241476	0.000792245985523
t	0.378013316566	0.0649186580243	0.129267282993	0.31868691922	0.0250119777204	0.0626431541477	0.0186608248047	0.00230942159235	0.000488432249408
a	0.135223767395	0.0930227365748	0.222260327664	0.45336000974	0.0611764462901	0.0266907292392	0.00732307952823	0.000771933181783	0.000170952738369
s	0.0675651237983	0.121781425525	0.232120622555	0.25152731658	0.0873677377634	0.103125451746	0.133081942243	0.00230142695749	0.00112892448046
e	0.0364575409994	0.114451791842	0.269265354185	0.21707383886	0.0543588592545	0.127559788915	0.176575061414	0.0028145449975	0.00144317327615
o	0.344157016733	0.0919586103807	0.247482061028	0.176793006077	0.0294070414848	0.0472503434503	0.0615251885095	0.000943398829372	0.000483325368012
G	0.587530928911	0.0891956532269	0.126585109976	0.0687690114823	0.0195166552283	0.0415255212954	0.056662140208	0.00946980592833	0.000745194982633
i	0.337367598464	0.111710314409	0.208062183325	0.199335436827	0.0211711440761	0.0482263847651	0.0609652084027	0.0123281515544	0.000833593196211
u	0.415926664981	0.072849584803	0.201513739108	0.234616679942	0.0189452273587	0.0254265030884	0.0263144188209	0.00412808485447	0.000279125518057
v	0.597670038327	0.141175901601	0.130144221036	0.0824098726473	0.0159632197862	0.0169098128628	0.0136570412936	0.00194959340949	0.000120351566672
à	0.354925084802	0.228112023867	0.342708503679	0.0379545638824	0.0110289835954	0.0142857346876	0.00968881189787	0.00122860745416	6.77508885907e-05
n	0.120841711827	0.156301311956	0.36750430856	0.0226903942941	0.0462841985318	0.142870425296	0.120008561433	0.0230885987691	0.00041054061923
n	0.0427404011357	0.0581762504187	0.145113886853	0.284634983098	0.0788783095106	0.197655087765	0.161255165811	0.0309513335897	0.000594619013077
i	0.0142696817469	0.0289386965729	0.0769459356177	0.391588077699	0.149285886504	0.184391841922	0.140336923937	0.0135541995299	0.000688761277692
t	0.0052861507573	0.0213825508576	0.0431713792059	0.153594514833	0.153879370501	0.199481913974	0.375054561312	0.04693357751	0.00121594509256
i	0.00227831109893	0.0123307506192	0.0245151290686	0.067652843211	0.084912525167	0.218211987991	0.528768923771	0.06026220817	0.00106728913419
n	0.00076726957981	0.0063822593564	0.0142496059562	0.0384214907703	0.076214108389	0.28155587933	0.496167401257	0.0790080750567	0.0072338884814
A	0.000343453386937	0.0363744152688	0.115724732919	0.0432392926234	0.0975040927963	0.22557168311	0.378011870419	0.0937439296856	0.00948651656047
n	0.00115978308898	0.0490763910896	0.151489100173	0.0448454011411	0.124835067599	0.22582550437	0.262258806806	0.135281511229	0.00522846212016
