 	non	mangiare	la	sera	</S>
m	0.155695027777	0.260891443283	0.038235611195	0.0581948935	0.48698300489
i	0.221157772592	0.492678981094	0.0742128237317	0.0494987709333	0.16245164125
f	0.151693828197	0.514200773698	0.251342464577	0.0276930167444	0.0550698857767
a	0.114736426732	0.499254414566	0.345583978192	0.0210639224815	0.0193612435389
i	0.101896857577	0.575846148189	0.292457526064	0.0225691337272	0.0072303710263
o	0.0609133995257	0.55208843273	0.296427318688	0.0852649305757	0.0053059162421
v	0.0404911898419	0.374759627577	0.223304807896	0.355139343525	0.0063050071807
r	0.0215369129473	0.203506629192	0.146801898965	0.600945631175	0.0272089588269
à	0.0235519389824	0.143413363064	0.131392910988	0.662516777058	0.0391250162756
i	0.0214905838741	0.0815126143547	0.0998280013293	0.770213659019	0.0269551090919
</S>	0.0108690282571	0.0503116471774	0.0713851471646	0.843956279509	0.0234778700459
