 	voglio	che	Maria	viene	domani	</S>
t	0.455687847515	0.027251770765	0.00661210425	0.00334392	0.007960616	0.49914374136
è	0.472017442505	0.0288846929217	0.273965739083	0.00332886553333	0.0553721181667	0.166431121194
l	0.175949692168	0.0478457126406	0.518683213028	0.0131953211444	0.188177626056	0.0561484168987
o	0.256982525389	0.17437314088	0.345069009676	0.0173627927148	0.186821309352	0.0193911936046
e	0.282392290763	0.182937951627	0.330997095225	0.00854016690493	0.188597810451	0.00653466681653
M	0.171319212554	0.095392755209	0.364023035075	0.0434861813016	0.32073693015	0.00504187424884
a	0.466177590851	0.0641713071363	0.171290229027	0.053464003337	0.24041743721	0.00447943241698
r	0.732946330284	0.110012527779	0.0571012755425	0.0183059275488	0.0801406293145	0.00149329242696
ì	0.811475376761	0.135623717926	0.0190522035125	0.0066301184196	0.026720414577	0.000498114141687
a	0.67755575892	0.252487854642	0.0294611329708	0.0094707328432	0.0307505065803	0.000273998902662
n	0.388520516307	0.467798338214	0.0341822029569	0.0712757919477	0.0379183511934	0.000304818487554
a	0.344700728769	0.528343949405	0.0144912990856	0.0924391733159	0.0196559123978	0.000368933179185
r	0.26411656059	0.441753143135	0.0470730731619	0.127243877105	0.118946040466	0.000867309666395
t	0.153619227863	0.456660057712	0.057173818854	0.179222145702	0.152315093022	0.00100968477546
i	0.113114935288	0.413918199237	0.148026398751	0.134607536901	0.151303953874	0.0390290131785
à	0.0458143554927	0.171026173236	0.248894892917	0.072107285567	0.388704471291	0.0734528757262
v	0.0164427792942	0.0577212205687	0.217439450972	0.033753495789	0.62813397043	0.0465091100654
v	0.272964219498	0.0708373595229	0.135712341857	0.0309969949297	0.469775603477	0.0197134698451
r	0.374522299833	0.369662759841	0.045856284719	0.0411291056432	0.158056606826	0.0107729268317
i	0.142059748808	0.418536476947	0.0157614828597	0.0341346165811	0.0539296284087	0.335578017494
</S>	0.071077657699	0.209537788974	0.00828812450985	0.0173418503406	0.0281762949043	0.665578243747
