 	i	bambini	non	si	vestono	da	soli	</S>
t	0.001005806944	0.001442110232	0.3128968296	0.17671820727	0.00222826105	0.00415712125	0.02029698735	0.481254696665
a	0.00123363688133	0.00215584391067	0.351386561533	0.40711681909	0.0592854021833	0.00950921725	0.00864581490667	0.160666688495
p	0.000640047034837	0.00145898149756	0.277897915511	0.565614606363	0.0848657773944	0.01295473175	0.00298821426889	0.0535797195161
e	0.000214912524872	0.000514419343187	0.257308961837	0.668142768788	0.0454217711315	0.00944501291667	0.00108055257296	0.0178715740798
t	0.000104312287157	0.0013406183644	0.353838123946	0.578023862929	0.0339476520438	0.0126941406389	0.0129233645977	0.00712788917993
ì	0.000120686735719	0.00319541952147	0.417936747982	0.427162450976	0.114895000348	0.0162160625463	0.0169134825092	0.00356014724998
a	9.49713133289e-05	0.00266290897176	0.315592209327	0.531267726992	0.132847398983	0.0105799833821	0.0057424753244	0.00121235121009
e	3.17154628589e-05	0.000893232321853	0.383699703109	0.560608675664	0.0463904789943	0.0059846389607	0.00198167390747	0.00040989201613
n	8.8765734613e-05	0.00458539884062	0.420893517703	0.385193898555	0.0579378734648	0.0206630839536	0.10661702159	0.00402043991471
i	0.000111929653538	0.00613904021354	0.267131072568	0.220478922852	0.329426034488	0.0299273359845	0.141517165983	0.00526851200824
n	4.39464210127e-05	0.00253671948118	0.116899715189	0.138340112951	0.403452221496	0.0400333666615	0.293398240781	0.00529568237275
d	0.000454988691504	0.0746531013037	0.136181639396	0.0815227036503	0.294218263832	0.0541239065538	0.353468618594	0.00537676260425
ì	0.000596450111835	0.0987099804679	0.126746044732	0.0728154752168	0.402010567944	0.146202733185	0.132939682531	0.0199790473481
n	0.000205741302432	0.0330883998586	0.0463565875107	0.0584868237389	0.305435356981	0.184908617728	0.345898512177	0.025619959116
n	0.000731676417964	0.0570396562889	0.0890223301702	0.059858829913	0.209564059994	0.113809240909	0.459756447392	0.0102177579387
o	0.000912923326988	0.0651336185296	0.10520734939	0.0976375233043	0.333057569998	0.163407435303	0.207654155797	0.0269894042129
t	0.000341186069996	0.0219378389665	0.0467473307967	0.0987519497681	0.335955059999	0.307784128434	0.155695621932	0.0327868884043
t	0.00117193093	0.0560397426788	0.0593779219322	0.0676153285894	0.37031658	0.296287510811	0.137251108311	0.0119399189814
e	0.00142134436767	0.0673992696029	0.0623861819774	0.0705893095298	0.45041092	0.248725751604	0.0603474171037	0.0387198058405
m	0.000577776780223	0.0228008796443	0.0324839203258	0.0743993751766	0.3788718	0.335905050535	0.105940475701	0.0490207053802
a	0.000293883402274	0.00787844308143	0.0211187361086	0.0594817627255	0.372482723333	0.370992513512	0.1246467319	0.0431052165601
n	9.866997419e-05	0.00267435744438	0.0118553256362	0.0400116763085	0.282497667778	0.261691407837	0.3572873673	0.0438835078534
e	3.29973824053e-05	0.000900205903693	0.0074489581454	0.0286159541695	0.191405602593	0.251720042612	0.446143277433	0.0737329249511
c	1.14561033451e-05	0.000314863935898	0.00696725504847	0.0271976007232	0.158507172531	0.282611167537	0.439415597478	0.0849748749837
h	0.00103024345055	0.0413103508083	0.114902943683	0.0458000859077	0.11442355251	0.189682869179	0.455551899159	0.0372980436612
à	0.0013695291133	0.0549720359298	0.149738757404	0.0493435713026	0.10297483817	0.14608491306	0.217354373053	0.278161956554
t	0.000470870362887	0.0183764449269	0.0520330418447	0.0238819844342	0.0580725777233	0.134387037687	0.351459661018	0.361318357518
u	0.000171272851059	0.00617560472687	0.0196764522149	0.0159009336781	0.0456211825744	0.112944269229	0.401832628339	0.397677657839
</S>	8.56525776745e-05	0.00308898105529	0.0102904637075	0.00973920013905	0.0360854097872	0.0924427296145	0.24317805617	0.605089528919
