 	vengono	vestiti	</S>
è	0.472060319735	0.0476550145	0.4802847205
r	0.481672715245	0.207463359833	0.310863953833
k	0.470368917082	0.273662953278	0.255968137944
u	0.754493129027	0.135587205093	0.109919672648
t	0.583291386342	0.355610765698	0.0610978227827
t	0.456035405447	0.517230978566	0.0267335701609
e	0.437465031816	0.297055016189	0.265479927387
n	0.211268813605	0.44010654873	0.348624652462
d	0.130895644202	0.726163049577	0.142941341821
i	0.109382946401	0.521226718526	0.369390361607
m	0.109941490467	0.451589828175	0.438468710536
è	0.112606393489	0.526515276058	0.360878376845
n	0.0543018205963	0.510217538686	0.435480655615
a	0.0198052321654	0.398414081229	0.581780665205
</S>	0.0100753998827	0.212834743115	0.777089832602
