 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
n	0.359308887576	0.133147535315	0.00415286845	0.0003673265475	0.002399403175	0.001663149	0.0008115608	0.048416573927	0.449732648583
d	0.684593495859	0.140856892772	0.00431165249667	0.000139961910833	0.002315026054	0.00134525316033	0.000384623944717	0.0161400742794	0.149913002022
ì	0.80658729862	0.134150175257	0.00175862378915	5.0033993361e-05	0.001494185347	0.000465019764443	0.000142415095289	0.00538002649764	0.0499721951677
s	0.525139241207	0.161701786752	0.01062172754	0.00770745953754	0.255032845116	0.0153071640721	0.0057298865341	0.00179545248962	0.016964435891
o	0.248249388736	0.310495443917	0.0140487037467	0.0103894383125	0.375096515039	0.0269251233574	0.00822363147803	0.00060083825754	0.005970972905
n	0.152921151935	0.333015752972	0.00828127648223	0.00476434280417	0.417629938346	0.0636820397858	0.0169961704593	0.00054756497518	0.00216179651967
t	0.0730985180017	0.166932255991	0.196811329494	0.0612265235014	0.403700056115	0.0770148792619	0.0195943175331	0.000607610688393	0.00101452019656
a	0.0747853210006	0.28380788533	0.258493776331	0.0796119583005	0.205174385372	0.0893275790873	0.0080291653577	0.000286905250798	0.00048301573652
t	0.0582649086669	0.318249188443	0.158268301944	0.0452376019002	0.218136701791	0.165721073029	0.0288821432526	0.0053490101416	0.00189105061651
i	0.064053927889	0.340607236148	0.131681869315	0.0342111272001	0.179067071597	0.205816247676	0.0351666965509	0.00704466343553	0.0023511406935
k	0.069327611963	0.350968318716	0.174746015105	0.0401727769667	0.121164888199	0.199238782559	0.0299584789836	0.0120023795335	0.00242074221917
i	0.045421963321	0.272873649572	0.193168321702	0.0425970926556	0.116634222733	0.283917490853	0.0292069528945	0.0137335158778	0.00244679865939
a	0.045517681107	0.313367519857	0.0804604674007	0.0168276432185	0.254025924244	0.263165361284	0.0208512208648	0.00492228087593	0.00086190214613
t	0.0349084830357	0.240848536619	0.170858255967	0.0620089597395	0.314916834748	0.127421799761	0.0292984982883	0.0170593395086	0.00267926712204
è	0.0156014422452	0.113867048873	0.200777100322	0.0796693845798	0.275239921583	0.26643538492	0.0240674344294	0.0210952583595	0.00324701037001
r	0.0100792073151	0.101109166291	0.109928041774	0.0765277928599	0.356340557194	0.30385070964	0.0241464151431	0.0152127849765	0.00280534075267
a	0.00779169025503	0.091046483097	0.0807908189247	0.0725445390866	0.373150902398	0.309583901213	0.0481716837144	0.0141051862255	0.00281482721756
t	0.00393464990168	0.0564519440323	0.0472321613082	0.0387010598289	0.370643007466	0.347342413738	0.0911481779048	0.0396055386418	0.00494109217252
i	0.00259035880723	0.0439004521441	0.0338838812361	0.0270095847763	0.329049469155	0.376692717913	0.128749569302	0.0524547745473	0.00566920014417
n	0.00089925007441	0.0159576819814	0.0138246435787	0.0102756634921	0.344984333052	0.387322915971	0.160143616434	0.0503573098491	0.0162345821347
ì	0.000321495231803	0.0062567583938	0.00538197822623	0.00500473949737	0.419493017684	0.337231348657	0.146287888811	0.0602069799497	0.0198158003782
c	0.0037074809856	0.0776274880646	0.00344488374208	0.00489713343246	0.477238762561	0.275200892886	0.106461082937	0.0436807836499	0.00774149569273
