 	stava	ancora	cucinando	</S>
ì	0.49246864648	0.00687698968	0.12068645935	0.37996796533
s	0.704071215493	0.0507100008933	0.05947036935	0.185748488663
t	0.779139705164	0.0612095692978	0.03864650157	0.121004271279
i	0.885975835055	0.0581009320993	0.0133057094767	0.042617527884
g	0.607636097685	0.264851517366	0.110620666992	0.0168917104947
g	0.530114075228	0.321126369122	0.142695696684	0.0060638750799
h	0.561902181743	0.334993296374	0.0949363999147	0.00816815947497
e	0.378027143914	0.454339292125	0.0855936509716	0.0820399014917
a	0.374465664638	0.469848314042	0.0475889213239	0.108097078831
n	0.266288300879	0.410673541347	0.147747493775	0.175290667944
k	0.15896078296	0.381157327116	0.269117424592	0.190764465648
ò	0.121009775653	0.542610475705	0.254965634864	0.081414174216
r	0.052652753551	0.553052148568	0.347046821621	0.0472483577387
a	0.0280551038503	0.408535129523	0.373152757207	0.190257042913
m	0.0187903236168	0.300182556508	0.437399649069	0.243627491638
a	0.0125972317723	0.229904268836	0.534353673023	0.223144861213
r	0.00520166315743	0.186856099612	0.571857491008	0.236084777071
è	0.00265109092581	0.169287489871	0.718550343669	0.109511095924
o	0.0011540672286	0.145578366624	0.696936374556	0.156331205541
n	0.000621942350867	0.0770459381413	0.429139823852	0.49319229518
t	0.00120315317829	0.0568578019804	0.447337706951	0.49460132806
a	0.00139200518033	0.0502440070601	0.465190100317	0.483173885687
</S>	0.000696931521515	0.0256964081301	0.264329427158	0.709277242844
