 	lo	sentii	ee	che	arrivava	</S>
t	0.0045354265965	0.0448100276479	0.207710863546	0.00457116765	0.241655983	0.496716529
o	0.0055872898655	0.330472695883	0.252092521182	0.00507493098333	0.23983911	0.166933414467
n	0.0029998670385	0.444548621961	0.377784173727	0.0296044804278	0.0893498726667	0.0557129233523
ì	0.00113655110283	0.284339710654	0.618295077909	0.0394640296759	0.0381342805556	0.0186303279018
k	0.00124471510761	0.201643441885	0.555671932636	0.0956429294253	0.136222439519	0.0095745300216
u	0.00995323710254	0.288642472295	0.403605490879	0.120218350475	0.170867024506	0.00671343993053
s	0.0138706176008	0.324396667432	0.34821601696	0.210284244158	0.0990841028353	0.00414836523351
a	0.0162420094336	0.275567132477	0.35429799232	0.268546298053	0.0809347076118	0.00441187867784
e	0.0152694209479	0.246859407492	0.544471290773	0.152604797684	0.0379562332039	0.00283887645928
e	0.0053540380193	0.110432021164	0.702950630258	0.159372997561	0.0205016149013	0.00138871168643
k	0.00597198523977	0.0618822947213	0.530968603419	0.308141679187	0.0890522548004	0.00398321046214
a	0.00980055041326	0.0436036472404	0.28539642114	0.496782589729	0.141207199933	0.023209588154
è	0.00712838226109	0.0282955339468	0.210844567047	0.62483560991	0.101943114311	0.0269527927847
s	0.0036125903437	0.0197043121823	0.199198642349	0.561517183303	0.20179887077	0.0141684359949
t	0.0294814535812	0.0236597713941	0.13934915145	0.582931241101	0.215146649957	0.00943175366497
a	0.0369098041287	0.0161865643767	0.0630656263033	0.475802317267	0.174460493019	0.233575202555
z	0.0131214556446	0.0142070807042	0.0343867312544	0.266934459322	0.357267447673	0.314082845518
z	0.0146703822149	0.0171170275681	0.0363714610848	0.494030803107	0.326646413891	0.111163938373
e	0.0143714393772	0.00928953022643	0.0237454827099	0.462478432202	0.188895259297	0.301219891324
</S>	0.0071868791469	0.00464767566882	0.0118909548775	0.231823112851	0.198567379648	0.545884045662
