 	forse	stanno	ancora	svegli	</S>
f	0.486865413528	0.00961292177	0.00319351379	0.01250047705	0.487827697335
ò	0.691273037843	0.136980900923	0.00469129216333	0.00440333992987	0.162651472764
r	0.451275986948	0.265141100308	0.205023028288	0.0142017748565	0.0643581570172
s	0.472650593316	0.206049460103	0.272170853263	0.0175197020222	0.0316093863607
i	0.529756061105	0.283481693368	0.167837254921	0.00623877614407	0.0126861823419
s	0.245264736368	0.353162104456	0.352032198307	0.0422330157814	0.00730792898063
t	0.348230954789	0.247783878152	0.346497222102	0.0540902929605	0.00339763019688
è	0.39398289493	0.459309172717	0.127242272701	0.0182491073455	0.00121651871563
o	0.153357417643	0.742471600906	0.0975694602337	0.00610428741517	0.000497244611877
n	0.063252469881	0.547399963635	0.108635876745	0.263548572113	0.0171631871306
e	0.0293066089603	0.451732117878	0.146462722248	0.349583075804	0.0229155264769
a	0.0236395273201	0.595969815959	0.255318924083	0.116894251568	0.00817750840563
n	0.0183323473067	0.410914165986	0.218769171361	0.331937671723	0.0200466766152
k	0.0586237139689	0.330181889329	0.177169350454	0.410286665908	0.0237383879551
ò	0.0716941575563	0.605102896443	0.167614860151	0.144979850636	0.010608205735
r	0.0270514122854	0.571111455481	0.246017216717	0.148230276879	0.00758962267833
a	0.0143595566285	0.400640218494	0.368599632239	0.160118122293	0.0562824826594
a	0.00858878697617	0.426490772831	0.41390030408	0.068569363431	0.0824507948865
t	0.00457606305872	0.289480310277	0.331835766027	0.308979207144	0.0651286656288
s	0.00758227565291	0.185703102759	0.257838620009	0.499939149048	0.0489368441429
ù	0.0079342214843	0.356115177586	0.251962008336	0.305743833016	0.078244716981
n	0.00275391912643	0.330882203262	0.122928575445	0.451049981005	0.092385266327
n	0.00174795007381	0.134184765154	0.100836349482	0.714930010335	0.048300916109
i	0.0014143516186	0.070726834718	0.0949183238273	0.489805992112	0.343134498703
t	0.0013887120002	0.048840487906	0.132624895276	0.386147786037	0.430998114234
i	0.0013760708554	0.041887118302	0.153379495092	0.372909125346	0.430448199411
</S>	0.0006916484107	0.025539432651	0.096492492546	0.234562782673	0.642713649705
