 	non	so	cosa	stai	scrivendo	</S>
e	0.227436709679	0.255182290007	0.0105776100235	0.0068499201	0.0292487371	0.470704763852
n	0.231266998226	0.512235350002	0.0458809353412	0.0429691487	0.0107048698333	0.156942727499
e	0.094199186742	0.724897750001	0.0706333451137	0.0537292319	0.00418978043443	0.05235072294
t	0.0469673497807	0.599141303334	0.113165588371	0.1678337263	0.0532302602348	0.0196617582403
s	0.13186793846	0.425852464445	0.157404856124	0.203676499667	0.0723448637449	0.00885333887343
è	0.172483079487	0.583607164815	0.134529195375	0.0788282924557	0.0272271039816	0.00332512346781
r	0.076702059829	0.548058534938	0.223524085125	0.104903172485	0.0446985137272	0.00211363500594
o	0.0328599156097	0.462138558313	0.315989195042	0.135193767495	0.0511838239091	0.00263477006865
e	0.0147816205366	0.377889614438	0.211490381681	0.367084922498	0.0257775299697	0.00297595795622
s	0.00757162077887	0.162516777813	0.107576645227	0.437406064166	0.27870409599	0.00622482285207
ù	0.00408999624962	0.0772816306043	0.067448665409	0.468645474722	0.37486524633	0.00766898641736
t	0.00670925147321	0.0756152102014	0.110347604136	0.480762181574	0.32058871311	0.00597703737245
i	0.0075840451544	0.0832090057338	0.131568801379	0.374261090525	0.34384905437	0.0595279772241
s	0.0035480710148	0.0666509722446	0.101343083793	0.423685533508	0.324077091457	0.0806951857414
t	0.0066797129716	0.0544073457482	0.093627959931	0.269275539169	0.542515753819	0.0334936140805
e	0.00677023430887	0.0306539911161	0.0491852633103	0.23902627439	0.492423636606	0.181940543527
g	0.00227003900796	0.0143025708054	0.0331670347701	0.499364791463	0.220097264202	0.230798292176
r	0.00178724008932	0.0135715471685	0.03958978659	0.519999427154	0.336397274734	0.0886547430587
à	0.00162017761301	0.0120968006428	0.02801352713	0.430306035718	0.378955264911	0.149008232353
f	0.0013797047209	0.0194852384676	0.0557449746433	0.416676268573	0.329951991637	0.176761850784
i	0.00129808225697	0.0217062746292	0.0648636872811	0.239098238524	0.301319630546	0.371714106928
</S>	0.000649291503485	0.0109351820246	0.0326200022405	0.145653677762	0.183405140273	0.626736728464
