 	vado	vestito	</S>
i	0.41527160365	0.087797676	0.49693071
p	0.459583341217	0.371048828667	0.169367859667
à	0.476161927072	0.462685992889	0.061152125789
o	0.587183525691	0.387388180963	0.025428322163
n	0.36745407523	0.616397606988	0.016148335721
d	0.24749533841	0.740171848996	0.012332825707
i	0.216468316137	0.495653667999	0.287878001369
m	0.191414742046	0.422888641	0.38569658879
è	0.162258249682	0.441791873667	0.395949851263
n	0.0654810293607	0.498426517889	0.436092427088
o	0.0232581548636	0.458275402296	0.518466419029
</S>	0.0117261193468	0.236851695648	0.751422159515
