 	è	che	sono	usciti	</S>
è	0.051241602996	0.058876889943	0.000345339375	0.4040491275	0.4854869869
n	0.0549371636653	0.0924140786477	0.0541072047917	0.629097975833	0.1694435509
a	0.0711685672218	0.325823772883	0.0902493482639	0.447346158944	0.0654121604667
g	0.0731401812739	0.384166962961	0.121172782755	0.398127719981	0.0233923566456
u	0.0804620992913	0.375083809654	0.131606771918	0.39040225866	0.0224450135385
ì	0.0837193430971	0.365713495218	0.063081098106	0.465259904887	0.0222260798795
k	0.0319199703657	0.147402290406	0.160257602502	0.639815324962	0.0206047596598
a	0.0167007101219	0.129425806802	0.341076114167	0.410948216321	0.101849121887
n	0.0090077593273	0.110664090934	0.505180578056	0.254285940107	0.120861612462
e	0.00362187808243	0.0460359753113	0.438287716019	0.202450870036	0.309603535987
</S>	0.00226734857121	0.0292547871557	0.26054804301	0.156596495018	0.551333287994
