 	io	non	ho	cosa	da	mangiare	</S>
e	0.496356864135	0.0028597121585	0.0006210125815	0.00025968516	0.0001667698485	0.032720665565	0.467015213533
v	0.655420438045	0.149496754553	0.0174366117605	0.0087634415	0.00221281882517	0.010997965245	0.155671891743
ò	0.415018942682	0.422592538184	0.0770332472535	0.0254797961667	0.00419001860839	0.00379423322167	0.0518911915931
e	0.202522414227	0.472523712728	0.197055595751	0.101305912056	0.0079143842028	0.00138009015389	0.0172978647389
n	0.097075817409	0.339748640909	0.29263423525	0.171190770685	0.0696997934009	0.023853542338	0.00579716936587
è	0.0355995107363	0.250852033636	0.36424715175	0.218719656895	0.0961773358003	0.0324303399127	0.00197399620762
c	0.0214864768454	0.208962607879	0.39224678725	0.257373018965	0.0920184532668	0.0272387761042	0.00067393215354
h	0.0166693336151	0.141745573293	0.347270512417	0.354658166322	0.0955182124223	0.0436404027014	0.00049785606318
o	0.0059995884817	0.0698448140977	0.286734897472	0.512943965441	0.0845459421408	0.0376694679005	0.00226138618773
t	0.0051192411039	0.0691469570326	0.239921952491	0.443867581814	0.117502064047	0.1192216043	0.00522063592924
i	0.00468465593297	0.0778835506775	0.224525824164	0.330507060605	0.193494134682	0.1599028881	0.00900191530975
è	0.00255847270932	0.0671567152258	0.159052318055	0.258948803535	0.195520754894	0.301333359367	0.0154296357699
n	0.00283763740311	0.0503532544086	0.0875099553517	0.141933831178	0.131382838298	0.570658769789	0.0153237867566
a	0.00195824775237	0.0309588281362	0.0630107331172	0.105647140393	0.187203719433	0.550541916596	0.0606794647522
f	0.00096851246879	0.0222763053787	0.0712553463724	0.125921866798	0.224137173144	0.471290698865	0.0841501299174
à	0.000635407646597	0.0159929605396	0.0600097776908	0.101348994933	0.145148824381	0.629107366288	0.0477566933058
o	0.000245656402532	0.00577462942653	0.0221128829636	0.0424070636443	0.0708088237937	0.689768555429	0.168882412769
</S>	0.000172575646266	0.00339801346327	0.0130046437318	0.0293509008222	0.0462482503969	0.607410227714	0.300415416384
