 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.0111430376792	0.38714800958	0.086911368827	0.0103303376325	0.00465566165	0.00635878295	0.493452763295
ì	0.0114415722931	0.64966581986	0.111458342942	0.0482689268775	0.01218375655	0.00234379728667	0.164637763848
s	0.0043177218977	0.75201260662	0.105311080981	0.0675331436258	0.01488739285	0.00087646819889	0.0550615629527
i	0.00402625469923	0.607824382207	0.164327616994	0.179029782542	0.0256384906167	0.00045525467963	0.0186981995342
f	0.00443043296641	0.439076014069	0.244916128998	0.234502684181	0.0664753538722	0.00379721040654	0.00680220244473
a	0.00783669805547	0.363730711356	0.261797986333	0.262306911394	0.0964841046241	0.00519782573551	0.00264578206824
m	0.0134601890185	0.356905770452	0.235442702111	0.254486094798	0.104218736875	0.0327737035118	0.00271281487608
ì	0.0098025033995	0.323290700151	0.179667964037	0.316115435933	0.123598252292	0.0448407681706	0.00268439615869
g	0.0034305501615	0.173356846717	0.104596912679	0.489116191978	0.188772607431	0.0397238930569	0.00100301328956
l	0.0506206420222	0.287542552239	0.0856859155597	0.372378107326	0.16759007181	0.0357210917523	0.00046161871652
i	0.0664192082341	0.302916945413	0.145111831853	0.321927185775	0.142832509937	0.0176750819841	0.00311720738884
a	0.0222495761954	0.315791696471	0.224744327284	0.286625417258	0.132223953312	0.014021898328	0.00434309502961
e	0.00741812412577	0.445759912157	0.338548969095	0.137919862753	0.055609342104	0.0114409841093	0.00330282040987
n	0.00334029854516	0.341321697386	0.334135279698	0.0822273099177	0.0983290150347	0.124402935703	0.0162434956366
è	0.00198261771682	0.173264499129	0.166868630233	0.119937210639	0.269128171678	0.248729078568	0.0200897974122
c	0.00082741052404	0.115776596376	0.069660180411	0.15708695688	0.331085590559	0.317130032856	0.00843320097073
h	0.00806666292468	0.194236082125	0.10406654347	0.13342308696	0.22311807352	0.332515207619	0.00457430339024
i	0.0103733979082	0.165850428375	0.115207407823	0.09412520032	0.142084636173	0.209855680873	0.262503243563
n	0.00351809858573	0.0578554031917	0.0542788036077	0.0543764261067	0.142401193724	0.293746108624	0.393823961188
a	0.00118198917491	0.0214644754639	0.0373218322026	0.0478963180356	0.205268601241	0.406138792875	0.280727987063
f	0.00044283225497	0.011416400488	0.0330152824009	0.0481472613452	0.234939960414	0.421259420958	0.250778839021
à	0.000189535246019	0.00656957212933	0.0179297738336	0.0348533944484	0.170908490138	0.623078906986	0.14647032534
i	6.31971324053e-05	0.00272355277644	0.00789602584453	0.0175828199495	0.0820127003793	0.546209262329	0.343512464113
</S>	3.16007502582e-05	0.00208073203822	0.00654575772227	0.0115225946747	0.0446288906897	0.334571971164	0.600618482057
