 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a	0.43891946313	0.047298876055	0.00828801133	0.006151858875	0.000441573485	0.0014363404165	0.0015230822665	0.0010432387325	0.00986566199575	0.0145651198436	0.0189875604811	0.0282089457478	0.153204882914	0.270065369277
n	0.439907186777	0.085844538685	0.12946590911	0.120647431625	0.014534686285	0.0223408916498	0.0171835965332	0.00391000306583	0.00419419456242	0.00499050997693	0.00647806565776	0.00940796322977	0.0510716668103	0.0900233502903
è	0.324199204659	0.142177989562	0.193054923037	0.207805207208	0.0195358991617	0.0293137966633	0.0224481910711	0.00486960158528	0.00230874548081	0.00180040071421	0.00230845572602	0.00314097073299	0.0170272688343	0.0300093442696
r	0.286314206053	0.159399857854	0.147364961012	0.189660412403	0.0270763237872	0.0597954016678	0.053908875917	0.0233760660918	0.0174137262203	0.0090008334933	0.00802293223877	0.00225463885207	0.00637226131234	0.0100395048862
t	0.188028329851	0.118372509285	0.227863820337	0.173754470801	0.0641758322624	0.0728244150559	0.0725274953057	0.0299964849973	0.0226418395901	0.0116151270511	0.00998265356292	0.00197888026636	0.00284577805211	0.00339239468573
i	0.15427871755	0.0800289284283	0.385450090112	0.139836954934	0.124172650754	0.040955711852	0.0441508334352	0.0129777951324	0.00780855484003	0.0041119702137	0.00343013441764	0.00068049791912	0.000975751553103	0.00114144960541
s	0.0527428918167	0.0485128194761	0.381892060037	0.124195972978	0.146839343585	0.0964032596173	0.102190986145	0.0209413855441	0.00946429607334	0.00595388338123	0.00573754821921	0.00194774112104	0.00235733523877	0.00082047992497
e	0.0187517428722	0.036741326492	0.342649586679	0.151870647659	0.160354241195	0.113559943206	0.123845536048	0.0231737373814	0.0100511052778	0.00659039475708	0.00651134129307	0.00236950968455	0.00281738890119	0.000713467365223
s	0.00712489367407	0.030143814164	0.305765082226	0.15076115922	0.161663430398	0.134598961069	0.135651766016	0.0292262966605	0.0139883793459	0.0104066698824	0.010889967651	0.00385866283905	0.00491346735533	0.00100744467864
e	0.00284698934136	0.026239201388	0.245909544075	0.219923003073	0.138985473466	0.13917575969	0.145031417005	0.0310893713202	0.0155114826153	0.0118003398741	0.0124143299303	0.00435509903695	0.00561229961744	0.00110565003068
t	0.00146272064712	0.024757128796	0.211773928025	0.231755494358	0.123310484489	0.15280100923	0.131878857335	0.0358074775401	0.0217348073718	0.020413532538	0.0213090773568	0.00910506160292	0.0122995430381	0.00159082254803
t	0.010923870449	0.022497915932	0.127075464008	0.204450284786	0.144061138163	0.163087488743	0.174766585778	0.03900725418	0.0300406231239	0.031404147846	0.0256165827856	0.010727113881	0.0145755798394	0.00176595056534
à	0.0149089196497	0.0225284723107	0.094181227336	0.277468308262	0.225709819388	0.111061918581	0.163164528593	0.0317442503933	0.0185647603746	0.0198769863487	0.0115853270619	0.00362409321633	0.00494537200513	0.000636041384447
a	0.0060777567629	0.0214851364369	0.0635496294453	0.328991806087	0.176911811296	0.0806121061937	0.101728751198	0.0305484221311	0.114851503792	0.0430470435162	0.028385878154	0.00168137421478	0.00178763428704	0.000341173424816
n	0.00203773243863	0.0140530947456	0.0292871766151	0.249060229696	0.076964651932	0.180194382065	0.092739702066	0.0616029287104	0.151654283264	0.0559659538387	0.0459114980513	0.0161881519716	0.0234298808157	0.000910369158272
d	0.00105490018421	0.0061563352152	0.0185372743384	0.137434890899	0.079964115644	0.252301730688	0.184593737355	0.0809511479035	0.0857214664213	0.0600637339462	0.0400738480171	0.0209606913239	0.0311692785052	0.00101686978609
e	0.000752115756737	0.0043326464384	0.0259947884461	0.1350464003	0.153555420215	0.242433926896	0.203633315785	0.0736884193012	0.0591871791404	0.0561216109821	0.0262586770057	0.00740641205797	0.0111802953517	0.000408756555363
m	0.00105969058091	0.0130757364795	0.0551291588154	0.1011417091	0.169139780072	0.267668048965	0.148292328595	0.0815277381004	0.0420976967135	0.044214129994	0.0441716533352	0.011160416636	0.0201426860672	0.00117916147845
i	0.00113487812764	0.0153805129265	0.0550642359385	0.0751315603667	0.130179380024	0.259346542988	0.163740696198	0.0992831027001	0.0497865555712	0.0476076286647	0.0651905911117	0.012627838192	0.0238562112224	0.00167018482615
n	0.000386225153547	0.00571450460883	0.0220020223128	0.0485504065222	0.0942366096747	0.218943052663	0.153641075399	0.1016627659	0.0452243118571	0.0387190468882	0.0914578737039	0.0786072587107	0.0978380662741	0.00301673787538
d	0.000250457561516	0.00239798253628	0.0089376181376	0.0217000572407	0.0426571752249	0.133079585888	0.112403745133	0.0709524303	0.088846540619	0.102858440963	0.147434537901	0.11892430357	0.145629782091	0.00392736209179
è	0.000323972253839	0.00228594887876	0.00723101074587	0.0929214694136	0.0730316207416	0.151163898629	0.105947468378	0.0793535534333	0.0999664975397	0.113806398321	0.122095849967	0.0586397039233	0.085472980697	0.00775966569726
l	0.000312873917946	0.00491624135959	0.0257139149153	0.119136685805	0.102049392247	0.200560042876	0.100364732793	0.0953833211444	0.0511122288466	0.0533644454403	0.0818788173223	0.0577495833744	0.097317826899	0.0101399312324
a	0.000191476489982	0.00484941082653	0.0294745062384	0.058810797935	0.0895928260823	0.248135417625	0.119371867598	0.117755373715	0.0416437719489	0.0373419961468	0.0807605091074	0.0586620940581	0.100683574633	0.0127264040775
p	6.9200763494e-05	0.00243975871551	0.0156385210128	0.0438474879783	0.0648661676941	0.201110859208	0.105855557199	0.111914697905	0.053035833983	0.0518456317156	0.127860423036	0.082565384286	0.126636383878	0.0123141110925
l	0.000209805303998	0.00209875997184	0.0112525909376	0.0348730646594	0.039405916898	0.116435359736	0.110564507066	0.0749747009683	0.0923091713277	0.113026977239	0.167760714345	0.100213900762	0.131789022626	0.00508552623083
è	0.000302359647999	0.00172305269061	0.0059737197792	0.0478305482198	0.0429934192993	0.128725713245	0.118404885689	0.0738350553228	0.0943715704426	0.106539013746	0.113579799448	0.0473017449207	0.143174662209	0.0752444658769
o	0.000149949067166	0.00126079469687	0.00315240484307	0.0516494714066	0.0309678172631	0.0919882222483	0.0580368002297	0.0534341264409	0.182040480148	0.109266309249	0.104820414483	0.0313674483069	0.157393189736	0.124472571959
k	0.000115023833555	0.00130427526562	0.00301789299769	0.0264291535689	0.0167484849177	0.0776935152494	0.0419795784099	0.037055391147	0.216375612383	0.129283636416	0.135807878161	0.0920735674356	0.150775372245	0.071340637153
a	0.000103357853718	0.00108789260854	0.00300750423256	0.013792755623	0.0153542623059	0.0936736384165	0.0587263528033	0.0479955647157	0.133659123128	0.0929180568053	0.156872656054	0.109315159145	0.200876397415	0.0726173022177
