 	e	che	cucino	</S>
c	0.132310802996	0.246090069207	0.234095805	0.3875033662
e	0.259985347665	0.436954899736	0.160262466333	0.142797314867
p	0.226065639222	0.499981953245	0.210331970111	0.0636204479557
u	0.173788223074	0.548489461082	0.233605116704	0.0441172269852
m	0.156852921025	0.452923570361	0.350965725568	0.0392578153284
a	0.146901923675	0.42768822012	0.402950918523	0.0224589504428
r	0.135603195558	0.41375334004	0.435109582841	0.0155338898143
è	0.058661070186	0.266398080013	0.66050057428	0.0144402456048
o	0.0296553227953	0.203643710004	0.59100178476	0.175699136868
</S>	0.0161420494976	0.150661660002	0.49718781238	0.336008453434
