 	la	casa	la	costruiscono	i	muratori	</S>
a31	0.8973903	0.0037870298	0.0001434485	4.8563532e-05	0.004268805	0.00067124114	0.093690574
a18	0.006830266	0.010203953	0.017162284	0.010431612	0.94575524	0.0024767728	0.007139837
a31	0.06283919	0.48769525	0.2557057	0.05693534	0.13411902	0.0019370642	0.0007684587
a20	0.084406614	0.23653758	0.43148625	0.094968565	0.13626978	0.007043272	0.00928786
a31	0.10182736	0.09386512	0.7006713	0.01963691	0.07543974	0.008295398	0.00026411528
a37	0.34592766	0.02503204	0.23361616	0.019891674	0.286925	0.06606897	0.022538532
a18	0.39281073	0.013507675	0.13968188	0.007739897	0.3410118	0.03017491	0.07507311
a46	0.19294626	0.012713415	0.05611879	0.010148333	0.5747298	0.017728997	0.13561438
a31	0.12384929	0.024303418	0.044617295	0.023399187	0.6823548	0.019921014	0.08155498
a46	0.076071925	0.036438357	0.054979444	0.044628106	0.72188693	0.010160044	0.055835154
a31	0.06511385	0.049456753	0.11539534	0.0761558	0.59653103	0.05860202	0.038745243
a46	0.046044048	0.047490343	0.13178185	0.089074485	0.6481096	0.013387127	0.024112549
a31	0.07299186	0.07393131	0.23700163	0.12889187	0.38156822	0.084875934	0.020739233
a46	0.074798316	0.076402	0.18944871	0.11267471	0.48035112	0.02896334	0.037361685
a31	0.1308639	0.12673816	0.21853769	0.15192468	0.22321609	0.119848534	0.028870897
a18	0.13477263	0.13352606	0.17474683	0.14589973	0.27299076	0.06569214	0.07237181
a31	0.15470137	0.1464394	0.15791516	0.14858936	0.16224903	0.1533146	0.07679104
a37	0.14822288	0.14711252	0.15411817	0.14923833	0.16989468	0.10713905	0.124274395
a13	0.13889253	0.13598683	0.13650145	0.13577497	0.1381945	0.13352899	0.18112071
a31	0.14553171	0.14163618	0.14221258	0.14131977	0.14351045	0.1395021	0.1462872
a20	0.14256024	0.14192763	0.14224268	0.14202157	0.14410627	0.12488222	0.16225938
a31	0.12357197	0.12235663	0.12252498	0.12223919	0.12280018	0.12374055	0.2627665
a20	0.1400289	0.13973711	0.13966693	0.13971482	0.14004755	0.13138604	0.16941871
a31	0.12779231	0.12708819	0.12713328	0.12700598	0.12723602	0.12793446	0.23580971
a20	0.1412291	0.14101134	0.14093184	0.14098592	0.14110154	0.13588792	0.15885234
</S>	0.13200726	0.13154073	0.13155776	0.13148566	0.13162111	0.13185173	0.20993574
