 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.16154471	0.000577279	0.00021189539	0.0096033905	0.003993876	0.39640388	0.41310665	0.0017045866	0.012853775
a13	0.025805017	0.0053435466	0.0124894325	0.24747586	0.06528078	0.29456866	0.09238026	0.256587	6.9374015e-05
a0	0.014908529	0.02856374	0.0092919525	0.00023662625	5.5790406e-05	0.03226478	0.37256423	0.539309	0.0028052363
a31	0.0072333873	0.15952589	0.011432582	8.046166e-05	5.8177357e-05	0.009080496	0.04291084	0.765064	0.004614166
a18	0.0119047025	0.17409922	0.09007133	0.014079645	0.0013695854	0.029059354	0.024178756	0.6347108	0.020526685
a31	0.17478389	0.23380539	0.21597731	0.19588022	0.007987748	0.13110842	0.013002768	0.027216738	0.000237521
a28	0.21889314	0.03236014	0.062746465	0.21442008	0.0022442439	0.086732104	0.3717088	0.009261829	0.0016332314
a20	0.2090472	0.018659618	0.118197866	0.4043246	0.0054008565	0.057859875	0.18282975	0.0031170866	0.0005631405
a31	0.2771079	0.016082842	0.085577875	0.230789	0.0018270946	0.058864705	0.32445058	0.0048296773	0.00047024913
a7	0.25682163	0.023222968	0.06641402	0.1626313	0.008214677	0.099655725	0.35808584	0.017574737	0.0073790546
a38	0.08414284	0.0068533574	0.19829348	0.4817058	0.013004534	0.031910382	0.15125865	0.021424046	0.011406907
a24	0.21572688	0.022059122	0.105211414	0.19498332	0.0042933775	0.058045417	0.3432888	0.053273953	0.0031176629
a46	0.073150836	0.0082271835	0.16385502	0.42759377	0.02003903	0.029841682	0.18937759	0.04013894	0.04777592
a31	0.2314005	0.031783782	0.12585378	0.24896008	0.015735008	0.07076266	0.18003806	0.089135714	0.0063304873
a38	0.07426458	0.02058265	0.17880253	0.3651293	0.044111304	0.038424466	0.075366125	0.109950416	0.09336863
a31	0.048537023	0.027625702	0.30495292	0.43621886	0.03074226	0.011971013	0.029730368	0.10869398	0.0015278595
a13	0.030727573	0.015330006	0.10300808	0.24265067	0.040698797	0.025418773	0.014193418	0.07958955	0.44838312
a31	0.047864277	0.03784325	0.114162505	0.37711084	0.04191895	0.019001909	0.04076914	0.12580812	0.19552106
a8	0.017155305	0.014814083	0.052713286	0.12748869	0.017622383	0.0303185	0.026923515	0.08749971	0.6254645
a20	0.09250489	0.086936094	0.19323693	0.5142858	0.08394205	0.007919539	0.009840232	0.0090112975	0.002323182
a31	0.04617025	0.044671666	0.09522732	0.24445035	0.046194516	0.02582496	0.026213516	0.04997239	0.42127508
a15	0.0253528	0.024512157	0.028357958	0.052810505	0.024732508	0.03213217	0.038962115	0.10943718	0.66370267
a31	0.13931473	0.13266507	0.18528946	0.32994848	0.13292576	0.029379522	0.028564196	0.00990669	0.0120060975
a20	0.018738622	0.018213447	0.022750406	0.044840116	0.018534752	0.033444285	0.043395184	0.12473153	0.6753516
a39	0.07967562	0.07825928	0.08228933	0.0883565	0.07883082	0.062568635	0.06387771	0.048458792	0.41768324
a31	0.06651305	0.06592057	0.0683037	0.08096157	0.065868475	0.053503998	0.051587068	0.0623135	0.48502806
a8	0.0590284	0.058571003	0.058722213	0.06273973	0.058573768	0.056485496	0.058167156	0.09495208	0.4927601
a31	0.12148481	0.120002255	0.12807974	0.14455831	0.1199276	0.07104606	0.061626967	0.026845412	0.20642883
a37	0.07093354	0.07062961	0.070925474	0.075369045	0.0705814	0.068393394	0.07033091	0.107529595	0.39530703
a20	0.06537538	0.06475006	0.066253744	0.067835525	0.065070964	0.061524667	0.06384157	0.06049956	0.4848485
a8	0.07006259	0.06971366	0.07079772	0.07606586	0.06963248	0.059105508	0.05719561	0.053205967	0.4742205
a20	0.10928689	0.10866174	0.1126369	0.12195738	0.10822199	0.068872236	0.059238624	0.027088799	0.2840355
a31	0.07976274	0.07960479	0.08035428	0.08414806	0.079364404	0.06406551	0.059621107	0.042867996	0.43021107
</S>	0.081516236	0.08126936	0.081264906	0.08269134	0.08124574	0.0764817	0.076561436	0.077714145	0.36125517
