 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a31	0.32967368	0.00071707496	0.0001605128	0.054736856	0.23433635	0.31875426	0.042266354	0.019354891
a20	0.0034174046	0.028240569	0.44201502	0.178204	0.3090733	0.0037187971	0.034155212	0.0011757186
a31	0.014961951	0.2520121	0.18834835	0.0018686684	0.0022917741	0.015330252	0.523135	0.0020518375
a29	0.012660405	0.067801744	0.13169925	0.0019257959	0.003961425	0.010512018	0.7305424	0.040896945
a31	0.07862524	0.38349134	0.48761174	0.013916608	0.009273547	0.0012281702	0.025545713	0.00030763212
a20	0.2994251	0.07674705	0.3521283	0.07946422	0.15975362	0.005811848	0.025130847	0.0015390454
a31	0.39386615	0.022921082	0.36401123	0.051249098	0.118949614	0.03115206	0.017581698	0.0002690456
a18	0.24442758	0.029164836	0.24336821	0.18306893	0.111606866	0.07434365	0.102214485	0.011805438
a20	0.07915644	0.010845288	0.42563462	0.13587905	0.08599019	0.060869306	0.19576088	0.0058641583
a31	0.09447888	0.01967806	0.22800986	0.12073257	0.05305109	0.1477384	0.32485414	0.011457051
a28	0.032418273	0.013294703	0.12922384	0.32711604	0.05285196	0.04606272	0.30895838	0.09007405
a31	0.019153612	0.012683601	0.078715585	0.1531777	0.04921651	0.076189466	0.47561455	0.13524896
a11	0.026567494	0.023290485	0.09857542	0.11580776	0.07733204	0.091566466	0.45548338	0.111376986
a24	0.034205366	0.028796535	0.041288003	0.041268118	0.04006419	0.18105327	0.58012736	0.053197134
a38	0.035256438	0.027930165	0.04206785	0.042567477	0.04356103	0.19643414	0.5317831	0.08039982
a31	0.04971638	0.040242407	0.17289485	0.13264692	0.029530756	0.06406387	0.36298814	0.1479167
a46	0.051761407	0.049936518	0.08557306	0.07442451	0.059261385	0.07396415	0.21610141	0.3889776
a20	0.09216195	0.08608218	0.11501423	0.10540185	0.06385558	0.078612804	0.16690476	0.29196665
a31	0.075419195	0.07417796	0.08959712	0.08360585	0.061449382	0.054944888	0.09001458	0.470791
a46	0.06601075	0.06549213	0.06693243	0.06688539	0.064709455	0.061312977	0.07976118	0.52889574
a31	0.067912064	0.065669894	0.06926314	0.06881002	0.05973043	0.07036434	0.09593262	0.5023174
a8	0.06563939	0.0654562	0.06616383	0.06605847	0.06448775	0.062093694	0.069603175	0.5404975
a31	0.06949559	0.06791712	0.070104256	0.069863126	0.063147485	0.07215786	0.090973385	0.4963412
</S>	0.07041498	0.070311256	0.070597604	0.07053507	0.06926856	0.06729671	0.07258433	0.5089914
