 	vengono	vestiti	dai	genitori	</S>
a31	0.021802455	0.030026427	0.0036227377	0.103760615	0.8407877
a46	0.003571787	0.021940783	0.22465207	0.74259496	0.007240408
a18	0.7463339	0.021270746	0.21866503	0.012047808	0.0016825278
a31	0.7148694	0.034026325	0.16134726	0.06815225	0.02160484
a11	0.86865973	0.0656992	0.03667511	0.018042672	0.010923368
a31	0.84677166	0.06675282	0.025224138	0.04748859	0.013762757
a39	0.7136043	0.10010479	0.059886634	0.028406333	0.09799808
a31	0.6220182	0.2124793	0.09200224	0.03890202	0.034598183
a35	0.17383958	0.19778262	0.13464656	0.14333805	0.35039327
a31	0.36209553	0.40443608	0.13672687	0.079184495	0.017556973
a18	0.13774748	0.15433656	0.11833281	0.3418071	0.24777605
a0	0.24195124	0.29898846	0.1581698	0.27929312	0.021597309
a31	0.23608512	0.37099388	0.10054908	0.18989338	0.10247852
a37	0.106208675	0.10476742	0.09758162	0.1591142	0.53232807
a20	0.19337194	0.24312517	0.15056288	0.3142638	0.098676264
a31	0.13317594	0.13955764	0.12568039	0.1662023	0.43538374
a41	0.11210428	0.11309464	0.10904978	0.13291176	0.53283954
a20	0.14683695	0.1520394	0.14215392	0.16477819	0.3941915
a31	0.13610388	0.13892388	0.13311502	0.14725365	0.44460353
a20	0.14309582	0.14362548	0.141499	0.14870213	0.42307758
a39	0.14714201	0.15128297	0.14352414	0.15224726	0.40580362
a46	0.15805802	0.16344231	0.1536122	0.15984745	0.36503997
a41	0.1793363	0.20015441	0.16395114	0.16983153	0.28672662
</S>	0.22793259	0.34008932	0.15558875	0.15668829	0.11970095
