 	se	avessi	visto	le	nuvole	avrei	capito	che	pioverà	</S>
a23	0.116876915	0.024236022	0.004197403	0.013108025	0.022212893	0.008100457	0.013941555	0.074293114	0.6977239	0.025309632
a31	0.0073966086	0.016829832	0.33806795	0.058422677	0.0139481705	0.17284021	0.25029892	0.13316934	0.008983908	4.233638e-05
a13	0.004090873	0.0012303651	0.0059543825	0.0028116817	0.0045843273	0.049553253	0.90588176	0.02411186	0.0017624713	1.8908762e-05
a37	0.0019502615	0.00045351664	0.0014673662	0.0013002773	0.019854441	0.39542982	0.54922616	0.030045742	0.00026834875	4.018314e-06
a31	0.011763298	0.0043435944	0.020799927	0.007219186	0.029295228	0.6186934	0.24526384	0.058236215	0.004240902	0.00014439701
a39	0.055415876	0.040976137	0.0714322	0.015794082	0.040025767	0.39333948	0.2507403	0.088607565	0.042828605	0.00083995477
a20	0.3711135	0.24248974	0.123799324	0.012755567	0.0052283457	0.09283413	0.0458343	0.05127898	0.05211806	0.0025480995
a31	0.24920222	0.36080512	0.06563399	0.009445044	0.0046909074	0.08411405	0.058332462	0.058937784	0.09213578	0.016702618
a0	0.12828411	0.117686056	0.032872457	0.026281305	0.0066403714	0.18087356	0.18841022	0.1755597	0.07729032	0.06610192
a31	0.21832426	0.2584888	0.0558641	0.015712216	0.0016717158	0.05979199	0.083161004	0.12260443	0.101799406	0.08258214
a20	0.074030355	0.037355397	0.017054873	0.021735063	0.008005604	0.23783414	0.21395276	0.1813095	0.08464998	0.12407229
a24	0.11309953	0.14694268	0.047098383	0.031931493	0.004432748	0.3925067	0.11790345	0.06323668	0.05293254	0.029915836
a31	0.06657919	0.10958377	0.030703725	0.022373457	0.0063273846	0.11807678	0.104233004	0.12332093	0.2452622	0.17353952
a10	0.053110864	0.03445545	0.025893636	0.03882043	0.0320869	0.22150156	0.18884312	0.07159632	0.19238532	0.1413064
a27	0.020134702	0.031188834	0.038168024	0.03598273	0.020052183	0.26150054	0.039827306	0.07614583	0.28842518	0.18857466
a37	0.04704969	0.09442487	0.14310709	0.12568635	0.01794345	0.41249472	0.045011804	0.035041958	0.055885147	0.023354944
a31	0.040041093	0.062763944	0.090205394	0.08076202	0.029444562	0.37498432	0.044157244	0.050133545	0.12783739	0.099670514
a18	0.038134914	0.04517875	0.09810013	0.104346015	0.05764858	0.4169092	0.074571684	0.041709337	0.041350175	0.082051314
a11	0.05813974	0.10576306	0.089442015	0.07439793	0.038429447	0.33793685	0.049547646	0.068946406	0.13725044	0.04014642
a31	0.0760187	0.09794111	0.0953791	0.088606656	0.06719057	0.22792321	0.072531186	0.07066585	0.079641275	0.12410224
a28	0.07223748	0.07599625	0.09089991	0.09030565	0.07816634	0.2343151	0.08024695	0.072068356	0.04010981	0.16565415
a31	0.08681625	0.10509313	0.08724017	0.08280049	0.08336442	0.11336918	0.08427337	0.08638555	0.08232716	0.1883303
a20	0.076309286	0.07863102	0.07855669	0.07804421	0.077572316	0.1068975	0.07803573	0.07895799	0.051609118	0.29538614
a3	0.07303497	0.0782193	0.07411833	0.07283489	0.0712005	0.09238685	0.072093636	0.08059685	0.11298322	0.27253142
a28	0.06997911	0.072885655	0.07024112	0.069509946	0.06903101	0.07657183	0.069345996	0.0719405	0.06697964	0.36351523
a20	0.06546985	0.06624313	0.06531192	0.0651287	0.06560401	0.067511976	0.065608755	0.06511144	0.042498276	0.43151197
a31	0.0647743	0.06615078	0.06492709	0.0646099	0.06451528	0.06868487	0.06469696	0.065667294	0.057949785	0.41802374
a46	0.069274865	0.06960836	0.069277845	0.069352694	0.070783295	0.071965076	0.07039623	0.06908199	0.048778877	0.39148074
a23	0.062452454	0.063914746	0.06253202	0.062243666	0.06260387	0.06498791	0.06258187	0.06346261	0.065303266	0.42991763
</S>	0.066955134	0.06777523	0.06732536	0.06724393	0.067515194	0.0714041	0.067601494	0.067962244	0.07454024	0.38167712
