 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
a31	0.6943544	0.09112944	0.031458713	0.043555785	0.040917028	0.016081193	0.06655911	0.0032409981	0.012703448
a24	0.048321526	0.044021886	0.12708215	0.11436881	0.33979818	0.006575871	0.3197256	9.11316e-05	1.4786202e-05
a18	0.8525689	0.016893603	0.03632325	0.023765014	0.051358383	0.011276174	0.007778542	2.366893e-05	1.2498226e-05
a31	0.36535805	0.02492772	0.16654773	0.08548789	0.3221504	0.024591342	0.010844379	4.9712246e-05	4.278358e-05
a37	0.13236114	0.021573871	0.13090788	0.21510074	0.34900463	0.017621184	0.13268057	0.00067011913	7.99124e-05
a21	0.028573325	0.0228794	0.122812964	0.28466025	0.1529008	0.029030956	0.3451354	0.013854194	0.00015274869
a31	0.016297845	0.01964802	0.08197628	0.26269737	0.09178911	0.02966243	0.47341835	0.023779659	0.00073096715
a37	0.07550552	0.017801812	0.06964377	0.15322201	0.14960648	0.049482368	0.4163108	0.051287446	0.017139884
a19	0.006812363	0.004492135	0.011288058	0.12978771	0.08044029	0.014148744	0.7130412	0.008495556	0.031493932
a37	0.0055216537	0.0083308	0.024253653	0.03968159	0.14537267	0.015202509	0.7383176	0.011976662	0.011342844
a31	0.030035257	0.01170851	0.02797638	0.10378781	0.14109986	0.046703424	0.54496723	0.016610183	0.07711129
a39	0.01773354	0.009960448	0.020087844	0.07242364	0.14934702	0.03952598	0.57032245	0.012580036	0.10801906
a35	0.016816054	0.014297875	0.02480576	0.080331735	0.1634354	0.038828947	0.59125876	0.0046480494	0.065577485
a20	0.015022765	0.015592784	0.028947383	0.100944005	0.15335394	0.0309647	0.56642133	0.0035825034	0.08517055
a31	0.039648756	0.028990794	0.050362933	0.111491665	0.25026646	0.04383629	0.41483995	0.0067296266	0.05383346
a33	0.02459007	0.024605913	0.08064773	0.1364125	0.3197839	0.044693023	0.25455564	0.023076484	0.09163461
a23	0.016754668	0.022949627	0.06765259	0.11214071	0.2685042	0.09064202	0.41631415	0.0012568943	0.0037851394
a31	0.023448769	0.03083094	0.08159434	0.119424574	0.41571054	0.06519492	0.2256797	0.0054911063	0.032625057
a37	0.027189242	0.029007848	0.20276667	0.11297936	0.15160398	0.026713796	0.04094676	0.04717233	0.36161995
a31	0.032553505	0.034085575	0.2231116	0.10491686	0.4350459	0.02016844	0.033477657	0.0357898	0.08085063
a3	0.031843614	0.031906348	0.18712775	0.093313366	0.47305498	0.034404323	0.047151458	0.041100666	0.060097467
a11	0.079530455	0.08254643	0.18499191	0.13140605	0.19240898	0.06895361	0.10633207	0.096641324	0.057189096
a31	0.08821054	0.09054464	0.16271514	0.1258276	0.1576247	0.079724796	0.10405674	0.09913665	0.09215919
a37	0.08303605	0.08312797	0.1485304	0.10160755	0.16343531	0.080155835	0.09233828	0.088457495	0.15931104
a11	0.089747526	0.091144785	0.104342274	0.1042677	0.10453463	0.086870186	0.11101071	0.09749252	0.21058969
a39	0.085253194	0.085842155	0.09287131	0.09154713	0.09322743	0.08020282	0.08923529	0.08927181	0.2925488
a20	0.0814792	0.08177826	0.09061927	0.086030155	0.08933808	0.07753734	0.082012475	0.08336087	0.32784432
a44	0.07578373	0.07579906	0.08167775	0.07828112	0.080645695	0.072359495	0.07434518	0.07628722	0.38482076
a31	0.06369181	0.0626018	0.08086941	0.07130203	0.078155264	0.06326052	0.066154115	0.05465222	0.45931286
</S>	0.09618641	0.092735715	0.09439009	0.092452176	0.10027158	0.088789605	0.08698731	0.0918566	0.2563305
