 	mi	sono	vestito	</S>
a39	0.91126966	0.0023528312	0.048990518	0.037386935
a11	0.035997596	0.93410295	0.026624996	0.0032744785
a13	0.8005668	0.085481375	0.09275576	0.021195993
a18	0.520735	0.10520826	0.2552425	0.11881421
a31	0.14065103	0.27177683	0.48243424	0.105137914
a37	0.046272278	0.27419946	0.6659527	0.013575657
a15	0.23751032	0.09041242	0.64991	0.022167264
a31	0.32904765	0.18449084	0.36252207	0.123939514
a46	0.25011286	0.13794692	0.23183495	0.38010526
a31	0.086383924	0.117956705	0.19335386	0.6023055
a20	0.08445575	0.08233802	0.08499566	0.7482106
a31	0.08340192	0.08599277	0.08861872	0.7419866
</S>	0.090467066	0.09028028	0.09105165	0.72820103
