 	ha	che	sono	usciti	</S>
a31	0.100409195	0.025714338	0.057629034	0.815842	0.0004054643
a13	0.50792354	0.36484322	0.04517291	0.060247835	0.02181243
a8	0.05687507	0.13039634	0.22766016	0.57970244	0.0053660157
a24	0.004981737	0.01014601	0.066824086	0.91117275	0.006875485
a31	0.24262117	0.32691684	0.045304187	0.33399835	0.051159482
a0	0.7450444	0.12069901	0.10141233	0.030918686	0.001925512
a31	0.6935683	0.07820375	0.19226928	0.01936992	0.016588751
a8	0.14362508	0.122768775	0.14058545	0.45034477	0.14267597
a23	0.04666792	0.05920156	0.089344986	0.7054133	0.099372305
a8	0.0452117	0.05461003	0.086775385	0.61524117	0.19816169
a23	0.05978829	0.08252145	0.14470026	0.49451208	0.21847785
</S>	0.06254072	0.101986684	0.1970292	0.39553	0.2429134
