 	l'	ho	sentito	quando	veniva	</S>
a31	0.048621178	0.0033727344	0.9121581	3.4528395e-05	0.035771687	4.1749132e-05
a46	0.04829458	0.73106843	0.07923406	0.001901174	0.12797782	0.011523954
a41	0.00046370708	0.006940168	0.5711174	0.0054367217	0.3035278	0.112514146
a31	0.0051984075	0.02868934	0.092198476	0.018676305	0.16019852	0.695039
a24	0.020967277	0.16932693	0.0065647867	0.011681166	0.012502326	0.77895755
a31	0.27544576	0.42713645	0.054231953	0.050968036	0.026313769	0.16590406
a15	0.6985241	0.030249683	0.16170181	0.026236204	0.036524884	0.04676333
a46	0.34037855	0.08068994	0.08928787	0.0188218	0.105863035	0.36495876
a31	0.20119743	0.115886316	0.17645633	0.012032298	0.27098486	0.22344278
a0	0.16576569	0.1555251	0.17636326	0.06021008	0.26946715	0.17266867
a41	0.23795949	0.2356368	0.14657484	0.035292227	0.10655348	0.23798326
</S>	0.46426523	0.35833153	0.076600865	0.020299936	0.013818033	0.06668425
