 	guardate	che	il	ladro	che	il	ladro	è	entrato	da	qui	che	ci	sono	i	segni	</S>
a31	0.21037656	0.15921196	0.015611317	0.00029848516	0.01724604	0.017483696	0.0073967497	0.005103465	0.0061629796	0.015135835	0.017957304	0.03527818	0.06222935	0.08224844	0.059763424	0.27984828	0.00864794
a11	0.00014415012	0.0025440264	0.0019842254	0.0011151155	0.07301402	0.13161482	0.05327834	0.07682283	0.33596605	0.1548268	0.0015779408	0.06552329	0.07973697	0.014863904	0.0061806124	0.00062347524	0.00018339737
a37	0.008264638	0.012688467	0.029890886	0.020297866	0.17951062	0.55549556	0.029672164	0.010426742	0.002372302	0.0011588539	0.00035742274	0.0127958525	0.09069107	0.032173097	0.013327965	0.00082384126	5.2677588e-05
a28	0.0031737215	0.009924877	0.011640288	0.009329769	0.07008032	0.5262554	0.0909721	0.05831278	0.017958483	0.0021275075	0.001092598	0.0300791	0.11000794	0.014018342	0.040959846	0.0038131813	0.0002537227
a31	0.002639709	0.010150993	0.009735994	0.007053652	0.02624509	0.18549778	0.08626341	0.097310424	0.07639702	0.012227288	0.003929942	0.24909459	0.1352175	0.034161143	0.06104619	0.0029146597	0.00011461071
a21	0.0013771403	0.0008370757	0.000789689	0.0005904004	0.0015509105	0.008695988	0.008043252	0.017973857	0.031093944	0.019986566	0.008736915	0.83803946	0.008935306	0.0065524927	0.041627068	0.005132798	3.709157e-05
a31	0.02096015	0.0029177747	0.0023695182	0.0017965648	0.0024028763	0.009165199	0.017800076	0.037898228	0.0373431	0.042889066	0.009096129	0.75436896	0.015454721	0.010596787	0.023797711	0.011093191	4.991036e-05
a10	0.0077614263	0.0008685946	0.0009324661	0.00076306536	0.0012669407	0.0044083367	0.005950923	0.008101286	0.011286467	0.025829278	0.0035301237	0.826937	0.011490144	0.009724298	0.04904722	0.029520363	0.0025820755
a31	0.0008105028	0.00030182305	0.0002988822	0.00025648525	0.00031083426	0.00084342516	0.001671027	0.0049559884	0.011030931	0.077859014	0.004203847	0.7524928	0.005428167	0.016162576	0.059914846	0.05534254	0.0081163915
a3	0.0036200404	0.0014837153	0.0016213716	0.0014563199	0.0016901342	0.0037537585	0.006387786	0.008823525	0.0072816624	0.043939576	0.0034525292	0.60889846	0.033823628	0.041273415	0.089951225	0.116003856	0.026539003
a28	0.00112096	0.0010162162	0.0012483943	0.0011505617	0.0012373197	0.0019660601	0.0031436917	0.0072866543	0.013759355	0.119814485	0.0026743952	0.63268083	0.016881598	0.019810485	0.06349714	0.084475905	0.028236054
a31	0.00141823	0.0013660997	0.0020986772	0.0019600787	0.0021998764	0.004331652	0.0073618214	0.010079993	0.006462623	0.05005795	0.0033400808	0.2806283	0.03485523	0.03220477	0.15021345	0.3386987	0.07272249
a20	0.0019290098	0.0026427058	0.0041813776	0.0040290896	0.0043761013	0.007463626	0.012197672	0.01569415	0.008234152	0.051734306	0.0036564446	0.24650446	0.07377165	0.047958206	0.121823624	0.34281966	0.050983787
a0	0.0028485819	0.0050539603	0.008411596	0.008252069	0.008624152	0.011917954	0.017386159	0.023109	0.015549801	0.10155465	0.0034990155	0.38374472	0.111241326	0.056696933	0.06825993	0.1451706	0.028679516
a20	0.0010653948	0.0009869016	0.0033492022	0.0035419064	0.003783395	0.005675593	0.008852597	0.01695832	0.012679417	0.117138796	0.0057924846	0.12717098	0.010777471	0.008743963	0.21076219	0.3183908	0.14433053
a31	0.0047241445	0.0074386112	0.009680062	0.009364565	0.010084381	0.016572412	0.026730344	0.03413764	0.019265128	0.107112534	0.0071495636	0.23461887	0.124110624	0.08650955	0.061530128	0.22687532	0.014096127
a20	0.002205687	0.0028608902	0.007922887	0.008111272	0.008814394	0.014987051	0.024756975	0.031872876	0.012263059	0.08602552	0.006424859	0.13192877	0.069023244	0.03007351	0.11026007	0.40071923	0.05174979
a8	0.005111154	0.0090395035	0.023284256	0.023899395	0.024954664	0.034176875	0.049854815	0.060601	0.023985296	0.14150378	0.007148151	0.17812115	0.13944082	0.05262622	0.05411578	0.15947905	0.01265812
a31	0.0076017072	0.016082257	0.05439407	0.058641106	0.059575897	0.06663959	0.07922356	0.08804593	0.038079157	0.14922796	0.005911276	0.126653	0.16054109	0.056412857	0.012394303	0.018803785	0.0017724748
a10	0.0048370394	0.0055792644	0.026571527	0.03195371	0.037814185	0.08449052	0.14363456	0.14300853	0.022929097	0.08383868	0.021577068	0.050732475	0.021862688	0.01293537	0.038514353	0.19790526	0.071815625
a31	0.013688661	0.012703251	0.02292051	0.043291513	0.044877745	0.04897186	0.070075355	0.043838616	0.019037819	0.07064521	0.027788939	0.06709155	0.009786321	0.0133649595	0.078458376	0.24617465	0.16728458
a18	0.021307565	0.020953694	0.043185048	0.08400113	0.08598377	0.08589855	0.10992412	0.063098595	0.025340926	0.06482053	0.030625949	0.07877536	0.023316674	0.028516626	0.083664574	0.05711109	0.09347582
a31	0.028733866	0.028246094	0.036950443	0.057086054	0.05796742	0.05519136	0.062698245	0.04436476	0.04209642	0.06422408	0.039277077	0.05413985	0.0659249	0.09364062	0.101016834	0.10803755	0.060404412
a37	0.03166155	0.031299464	0.044591986	0.07395743	0.075120255	0.0712114	0.08325137	0.052005924	0.033851806	0.052709572	0.036281817	0.06400608	0.04388619	0.052730385	0.085496366	0.053767763	0.11417059
a31	0.039839935	0.03937096	0.040929917	0.044759233	0.044964373	0.044604737	0.04620257	0.043705598	0.04652783	0.055933647	0.045542855	0.053295217	0.076624505	0.10110354	0.09102323	0.09424697	0.09132493
a21	0.044062916	0.043697067	0.046226468	0.051960286	0.05220045	0.05135031	0.05354022	0.047902256	0.044944514	0.050716586	0.045761183	0.055535153	0.057626083	0.06812986	0.07080848	0.06019655	0.1553416
a28	0.04161593	0.041350175	0.041597966	0.04246671	0.042556062	0.042672675	0.043184716	0.043642707	0.048025463	0.054671545	0.046728693	0.050211415	0.07615184	0.09449505	0.07893706	0.08560229	0.12608966
a15	0.046734553	0.046450164	0.046881095	0.04787194	0.047939006	0.04790374	0.04839611	0.04763044	0.047411807	0.05039902	0.047815386	0.053064737	0.055512883	0.06380955	0.06273385	0.060271107	0.17917466
a7	0.037656333	0.03757622	0.038153447	0.039650425	0.03973823	0.039608028	0.040184632	0.039513104	0.041973088	0.045843482	0.041036263	0.04615756	0.10434016	0.12591845	0.09085384	0.08713065	0.10466616
a20	0.048038777	0.04784555	0.04836842	0.049563114	0.049631566	0.049486116	0.049911745	0.04884053	0.048598662	0.050256986	0.048725426	0.052356675	0.057255883	0.06410214	0.0603312	0.059453614	0.1672336
a31	0.048557002	0.04839624	0.04878922	0.049741864	0.049808584	0.049724057	0.050057583	0.04939677	0.050007477	0.05193006	0.049766093	0.052455027	0.055934574	0.062405575	0.057961028	0.05730807	0.16776077
a28	0.052315243	0.052134022	0.052323986	0.0527688	0.052844025	0.052860398	0.0529523	0.05259088	0.05264722	0.05370828	0.052766725	0.05714679	0.05350213	0.05744594	0.05664747	0.05456166	0.14078417
a33	0.052615657	0.052486822	0.052504804	0.052579354	0.052606404	0.052650206	0.052679587	0.05275295	0.053244304	0.054103002	0.053183228	0.054711465	0.05470547	0.058032334	0.056902654	0.060301416	0.13394034
a8	0.040960763	0.040902898	0.04358483	0.049825434	0.05018983	0.049180456	0.050873086	0.045041203	0.04448456	0.047783416	0.04314526	0.053840674	0.079359636	0.08991156	0.06467907	0.059818506	0.14641878
</S>	0.048237465	0.048119165	0.04831375	0.04878176	0.048884284	0.048906762	0.048913576	0.048546497	0.048802767	0.049538355	0.04868836	0.054773394	0.059581395	0.06268731	0.056255933	0.05376755	0.17720161
