 	stava	ancora	cucinando	</S>
a8	0.0003145661	0.039697286	0.0023816952	0.9576065
a46	0.0011017192	0.9988821	3.1044551e-06	1.313903e-05
a24	0.031080201	0.9688797	1.3411206e-05	2.6696305e-05
a37	0.026459008	0.96799535	0.00019760043	0.0053480673
a20	0.07097784	0.9233214	0.00021213891	0.005488608
a31	0.12098992	0.8718402	0.00069730077	0.006472654
a37	0.09133665	0.8259346	0.0030847706	0.079644054
a31	0.013642417	0.91515726	0.0030140313	0.068186134
a20	0.03940718	0.88781023	0.014517899	0.058264658
a31	0.0715399	0.7365063	0.030401748	0.16155198
a6	0.19137962	0.318172	0.17207824	0.3183701
a31	0.12549727	0.29392666	0.122043	0.4585331
a20	0.119766705	0.12570007	0.1188098	0.6357234
a46	0.13736084	0.14476134	0.13509615	0.5827817
a31	0.14553288	0.1491603	0.14444089	0.56086594
</S>	0.16745164	0.16778807	0.16739723	0.49736312
