 	sono	vestita	</S>
a31	0.84052426	0.0047928225	0.15468292
a20	0.9850456	0.00014175865	0.014812663
a31	0.9978258	6.787401e-06	0.0021673844
a41	0.9715077	8.396688e-05	0.028408265
a46	0.014069752	2.7194445e-05	0.985903
a18	0.68534636	0.00040336256	0.3142503
a24	0.8802826	0.026361918	0.0933554
a31	0.7079234	0.15666579	0.13541076
a11	0.5021107	0.40435866	0.09353065
a0	0.49939534	0.41044423	0.09016037
a15	0.58032167	0.303779	0.115899384
a8	0.39360863	0.08695227	0.5194391
a39	0.72880745	0.19697176	0.0742208
</S>	0.6119887	0.32745168	0.06055959
