 	sto	e	cucino	</S>
a31	0.050320093	0.7680925	0.052488342	0.12909903
a20	0.4912998	0.17879374	0.3090583	0.020848215
a31	0.24560158	0.5502584	0.1917429	0.012397104
a37	0.6033224	0.14828762	0.18054692	0.067843154
a18	0.50056887	0.15497623	0.3415093	0.0029455663
a31	0.67151517	0.13941456	0.18608052	0.0029897192
a20	0.095583335	0.1379438	0.73360443	0.032868493
a31	0.036056925	0.16064967	0.76138955	0.04190391
a28	0.11321876	0.21216363	0.5223972	0.15222034
a33	0.20553154	0.24068962	0.2754445	0.27833435
a31	0.17115517	0.20752141	0.26775178	0.35357165
</S>	0.1830449	0.17912114	0.1787873	0.45904657
