 	non	mi	aspetti	che	non	vengo	</S>
a8	0.13018204	0.013513179	0.032123975	0.024693292	0.13673702	0.65722144	0.0055290097
a31	0.0040775677	0.05777427	0.6625183	0.27015874	0.0023364197	0.0030616499	7.304776e-05
a24	0.040815588	0.0098738745	0.9047894	0.009399285	0.0060558603	0.028830342	0.00023564322
a31	0.29616317	0.030099483	0.17979626	0.31365427	0.03974838	0.12946746	0.011070949
a36	0.15835366	0.073611505	0.41386163	0.28695735	0.010081403	0.028204748	0.028929489
a31	0.371203	0.008570777	0.28851128	0.22327617	0.04678649	0.059037946	0.0026143058
a39	0.093000464	0.021338776	0.13637482	0.26663992	0.3247039	0.14444903	0.0134931095
a8	0.11505795	0.020881621	0.16060677	0.15933971	0.2529691	0.25420535	0.03693955
a31	0.021615118	0.006834862	0.060324896	0.18058528	0.4174758	0.3038217	0.009342405
a29	0.044988383	0.035660233	0.04930072	0.11235251	0.33066407	0.3027186	0.124315485
a31	0.0493306	0.038943246	0.061338954	0.10034021	0.36477956	0.23426807	0.15099937
a17	0.07776933	0.075993754	0.07872164	0.09485529	0.16960388	0.1186919	0.38436425
</S>	0.06560697	0.061616186	0.07091924	0.08882233	0.19700103	0.1334847	0.38254952
