 	ho	cosa	a	fare	</S>
a23	0.20025964	0.094998896	0.34323454	0.36062244	0.0008844333
a17	0.048405554	0.5493997	0.33099562	0.07000348	0.001195669
a31	0.04014231	0.7662771	0.15690598	0.03574963	0.0009250962
a8	0.02579094	0.05238995	0.37081206	0.51917475	0.031832322
a31	0.019921882	0.33801565	0.63261664	0.009342942	0.00010292223
a13	0.4250596	0.06928664	0.469518	0.03392146	0.0022141582
a24	0.17466642	0.029117191	0.29805562	0.48179883	0.016361961
a31	0.2564229	0.016815241	0.098972544	0.5940032	0.033786025
a13	0.32613072	0.10744881	0.07345739	0.41453934	0.07842364
a31	0.26031998	0.11950725	0.10170224	0.41582173	0.10264873
a18	0.23067339	0.19448085	0.14302418	0.1736276	0.25819403
a0	0.24734502	0.23196521	0.15319933	0.14920719	0.21828328
a39	0.2642027	0.25446495	0.15437466	0.11356522	0.2133924
</S>	0.29627636	0.27595982	0.15539414	0.11174236	0.16062735
