 	non	ho	dove	d'	andare	</S>
a20	0.45203325	0.54545486	0.00083285035	4.2116935e-05	0.0014563978	0.0001804789
a31	0.027685974	0.40348852	0.56820476	0.0002661912	0.00034697502	7.4853065e-06
a37	0.8123471	0.11540839	0.068461105	4.5845853e-05	0.002139275	0.0015983597
a31	0.27877855	0.14807543	0.5645137	0.0028524946	0.0045767776	0.001203052
a29	0.06351025	0.27979922	0.64893806	0.0037861029	0.0038772481	8.91355e-05
a41	0.33234805	0.2849387	0.34033397	0.023088431	0.01924968	4.111064e-05
a31	0.40556642	0.3233803	0.24897216	0.01479298	0.007050484	0.00023756985
a18	0.30778074	0.28441864	0.34213528	0.032273743	0.026327735	0.0070638135
a31	0.14515162	0.14919172	0.64661086	0.028065676	0.02381039	0.0071697976
a39	0.09418409	0.094361775	0.22656912	0.04976845	0.2872594	0.24785718
a31	0.08309256	0.0835911	0.12002019	0.07346973	0.32433915	0.31548733
a8	0.055769924	0.05573292	0.061317775	0.05354404	0.11319703	0.6604383
a31	0.055596493	0.05568276	0.058827564	0.05489006	0.10215846	0.67284465
a8	0.06610697	0.06608495	0.0669793	0.06553394	0.08007833	0.6552165
</S>	0.06134845	0.061410137	0.06278965	0.060981475	0.08048292	0.6729874
