 	l'	ho	sentito	che	viene	</S>
a34	0.05104372	0.001595829	0.3921799	0.013713111	0.53824216	0.0032252776
a46	0.008489539	0.10767341	0.8033274	0.06511766	0.0128396135	0.0025524187
a41	3.641434e-05	0.0015421251	0.99510044	0.0018770866	0.0013136346	0.00013030917
a19	0.00087681477	0.0037260985	0.049542695	0.09901804	0.57439536	0.272441
a31	0.004933914	0.063887976	0.23857373	0.19679576	0.45423886	0.041569784
a20	0.10442761	0.10198506	0.076230444	0.06383026	0.65164787	0.001878839
a31	0.25154898	0.14656928	0.33780923	0.21935554	0.044184104	0.000532916
a24	0.07385231	0.111840524	0.12026317	0.40353778	0.23545693	0.055049308
a31	0.17022128	0.16677992	0.15048696	0.39357007	0.09024168	0.028700128
a23	0.0338652	0.039711766	0.044588342	0.06781307	0.2407338	0.57328784
a20	0.016144533	0.028221382	0.013107137	0.04660046	0.22118765	0.6747388
</S>	0.0274149	0.0473744	0.02105257	0.06881259	0.18898398	0.64636153
