 	l'	ha	scritta	</S>
a20	0.8574668	0.121756405	0.016993646	0.0037831655
a31	0.02925113	0.9661867	0.0026540565	0.0019080398
a35	0.379684	0.54658175	0.036837894	0.03689632
a31	0.22215755	0.41677928	0.095146745	0.2659164
a35	0.08364646	0.7493081	0.01692738	0.15011805
a31	0.36053696	0.45052	0.021680124	0.16726291
a41	0.7313604	0.1152338	0.0082897935	0.14511597
a31	0.4136094	0.1816654	0.012139364	0.3925859
a11	0.43159953	0.3308753	0.04602437	0.19150083
a18	0.3899799	0.37069118	0.04142436	0.19790457
a13	0.38576344	0.37806734	0.03423765	0.20193155
</S>	0.360207	0.38105208	0.031428006	0.22731288
