 	la	pasta	vuole	sale	</S>
a31	0.07297595	0.084800564	0.31637487	0.52414113	0.0017074574
a15	0.34673452	0.6074643	0.029115783	0.011084591	0.0056007826
a31	0.72345334	0.055682685	0.077865675	0.1334575	0.009540845
a13	0.7000486	0.045656808	0.07286577	0.1600054	0.021423263
a31	0.26340508	0.2730739	0.2234765	0.22080699	0.019237548
a6	0.61787754	0.22088194	0.12825952	0.03237493	0.0006060625
a31	0.46650806	0.19230808	0.16725916	0.15784477	0.01607986
a46	0.0820638	0.08392476	0.17392823	0.55664676	0.10343641
a31	0.098728046	0.11187597	0.21767282	0.43771288	0.13401029
a46	0.08815631	0.088280424	0.09368982	0.12172131	0.6081521
a20	0.11154061	0.11277385	0.11698955	0.1421378	0.51655823
</S>	0.12676468	0.12782443	0.1306734	0.15316164	0.46157578
