 	forse	non	li	ha	a	casa	</S>
a28	0.008422638	0.19481571	0.046715032	0.24023767	0.44213575	0.02389591	0.0437772
a10	0.070953846	0.7628741	0.13121808	0.00971803	0.025162827	2.8511113e-05	4.4576922e-05
a31	0.13126677	0.74520403	0.07067454	0.010103954	0.040807094	0.0013258427	0.0006177348
a21	0.10409335	0.7728626	0.118147366	0.0017259299	0.0018331325	0.0005290883	0.0008084724
a37	0.058306467	0.6154228	0.3223296	0.003664566	0.00019089076	7.45704e-05	1.11328645e-05
a31	0.021205192	0.8240064	0.12653719	0.016769907	0.010641456	0.00080861396	3.1201896e-05
a37	0.08703513	0.49940312	0.16725293	0.052849468	0.17951852	0.012777262	0.0011635259
a31	0.15744838	0.24033347	0.14270295	0.14738977	0.2891796	0.016815094	0.006130711
a37	0.09704466	0.07893115	0.10479157	0.26681647	0.38359478	0.056071207	0.012750168
a31	0.17184174	0.048072495	0.06918751	0.23733509	0.34883088	0.11800731	0.0067250323
a21	0.07157128	0.07142753	0.11351321	0.3761876	0.21647233	0.11995937	0.030868635
a31	0.10358394	0.025028544	0.032755237	0.1764962	0.3889188	0.24815843	0.025058877
a20	0.080898106	0.089000605	0.111141175	0.16630952	0.1367752	0.10846683	0.3074086
a31	0.09172242	0.08364679	0.08922419	0.15656018	0.1525805	0.12538467	0.3008812
a37	0.09101495	0.09306453	0.09413084	0.1069008	0.09852269	0.09480153	0.4215646
a33	0.08628577	0.083237566	0.08300004	0.0954951	0.09232469	0.09022395	0.4694329
</S>	0.07203108	0.071946084	0.07659762	0.089908324	0.085606836	0.07756189	0.5263481
