 	non	mi	aspetti	non	vengo	</S>
a33	0.11214908	0.013053378	0.123072796	0.27209195	0.47845298	0.0011798904
a31	0.026841827	0.43686455	0.47673905	0.027885593	0.02990384	0.0017650696
a37	0.026551452	0.05855531	0.8790009	0.017753545	0.017731193	0.00040765895
a35	0.06972587	0.025821831	0.32480386	0.17385715	0.3529377	0.052853603
a31	0.07444054	0.036775835	0.6989881	0.06620982	0.10378554	0.019800128
a7	0.64860797	0.026711175	0.17477629	0.07566175	0.065010935	0.0092319315
a18	0.24967815	0.00911785	0.148153	0.1507972	0.4052003	0.037053566
a24	0.103161894	0.009312168	0.10133047	0.1633892	0.58839256	0.034413714
a31	0.15730505	0.037811644	0.1270362	0.18214989	0.45547307	0.040224086
a20	0.035060357	0.022417117	0.054243732	0.2518191	0.593372	0.04308772
a8	0.028736405	0.02175552	0.07520553	0.36228716	0.4247824	0.08723301
a31	0.04956308	0.044446778	0.0789245	0.21315299	0.21652897	0.39738363
</S>	0.07961953	0.07896472	0.08154923	0.109228574	0.11340642	0.53723156
