 	non	so	cosa	scrive	</S>
a46	0.15228672	0.8166264	0.022661967	0.0053071356	0.003117819
a8	0.0029827447	0.0003183895	0.99611807	0.00019146953	0.0003894184
a31	0.14321086	0.15247086	0.703919	0.00027469773	0.0001246196
a13	0.3746903	0.4445411	0.12477952	0.01835669	0.037632424
a31	0.11165876	0.17608371	0.6059496	0.05515575	0.05115214
a28	0.11409463	0.016938029	0.8096314	0.04133787	0.017998049
a31	0.28140253	0.005222407	0.44996876	0.24939102	0.014015295
a37	0.21968032	0.023841064	0.47587514	0.22011016	0.06049336
a31	0.087479375	0.03186035	0.5935128	0.21646413	0.070683375
a11	0.13953938	0.2192988	0.32747576	0.24975467	0.06393143
a31	0.07601266	0.07745113	0.25407615	0.46031532	0.13214473
a20	0.09842255	0.10813292	0.1048075	0.2849143	0.40372273
a31	0.098977804	0.09945742	0.10689571	0.2341934	0.46047562
</S>	0.089973986	0.090802215	0.0909728	0.1216258	0.60662514
