 	credo	che	stanno	ancora	svegli	</S>
a31	0.24544998	0.17124724	0.17162417	0.003792567	0.012919937	0.39496604
a20	0.09464312	0.13596849	0.121780396	0.6464101	0.001185041	1.2785786e-05
a21	0.53590566	0.28963423	0.016262997	0.15818426	1.0926089e-05	1.9480208e-06
a31	0.18040402	0.7316306	0.01404446	0.07391357	5.9441754e-06	1.3644496e-06
a37	0.14213538	0.74276423	0.05951026	0.05556181	2.402079e-05	4.3272835e-06
a31	0.21462688	0.40451786	0.14530042	0.23176487	0.003392192	0.00039784794
a13	0.098519206	0.251788	0.2584759	0.37772143	0.0043982216	0.00909723
a31	0.068555154	0.0504081	0.1491758	0.6084083	0.007486322	0.115966305
a20	0.07416629	0.07679824	0.21630251	0.4683633	0.038457997	0.12591164
a31	0.11301911	0.10493986	0.24356666	0.40849856	0.022039477	0.10793628
a39	0.08387647	0.07595273	0.18793936	0.3225108	0.082942754	0.24677782
a18	0.20335142	0.19254227	0.18679301	0.27937	0.050942726	0.08700059
a33	0.21747807	0.19948955	0.19851469	0.23832464	0.062028095	0.08416497
a39	0.29689178	0.27787557	0.22163735	0.15491048	0.03316753	0.015517294
a31	0.2547353	0.22877315	0.19182952	0.16984093	0.08286333	0.071957804
a39	0.27292326	0.22985321	0.16483036	0.10928301	0.09793431	0.12517588
a33	0.35244244	0.23545435	0.12471451	0.10251692	0.11143675	0.07343498
a8	0.41610485	0.34671822	0.08254674	0.06466157	0.03697879	0.052989904
a31	0.40511432	0.33223417	0.08729294	0.07838045	0.05065257	0.04632552
a7	0.3257654	0.23279166	0.15578993	0.08159747	0.11191749	0.0921381
a31	0.19624344	0.1750816	0.15919699	0.13406509	0.15955928	0.17585367
a3	0.23592123	0.19307539	0.16035499	0.14078686	0.14936608	0.120495446
a31	0.16017775	0.15711652	0.15389287	0.14988633	0.15458551	0.22434102
a13	0.16721866	0.1644273	0.1571455	0.15120725	0.1531483	0.206853
a20	0.14286907	0.14293621	0.14196281	0.14154437	0.14248106	0.28820652
a7	0.16042282	0.15597406	0.14804226	0.14408943	0.14504753	0.24642394
a35	0.14737949	0.14931907	0.14741729	0.14532901	0.1460742	0.26448095
a31	0.15037312	0.15064198	0.14645272	0.14374475	0.1445788	0.26420859
a20	0.15997218	0.17157154	0.16402113	0.15607604	0.15532726	0.19303185
a31	0.14871946	0.1519922	0.1497902	0.14694688	0.14738326	0.255168
</S>	0.15621884	0.17779501	0.16733508	0.15575476	0.15329592	0.18960036
