 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
a31	0.35097632	0.6340967	0.0108876815	0.003392976	0.000100468686	0.00034273954	2.5145955e-05	6.1634687e-06	0.00017187172
a24	0.002154579	0.009653747	0.16598976	0.0021427523	0.5086402	0.29425192	0.016702086	0.00015622967	0.00030870436
a31	0.01936422	0.036211953	0.30654427	0.054916218	0.27771327	0.30361995	0.0009948615	0.00046641222	0.00016879907
a20	0.017308734	0.018453412	0.5397356	0.050016355	0.22916335	0.14359505	0.0015775288	5.2213527e-05	9.772984e-05
a0	0.003206596	0.011686656	0.16972351	0.015694696	0.6842595	0.11446853	0.0008827344	5.062209e-05	2.72537e-05
a13	0.008079234	0.051673923	0.07652118	0.06518502	0.71380126	0.077513024	0.0070141708	0.0001653246	4.6968646e-05
a31	0.037783597	0.083435096	0.05176973	0.20280734	0.48206192	0.05688577	0.084681064	0.00024994795	0.0003255794
a24	0.10826064	0.06923278	0.075431935	0.057119288	0.29686806	0.26246178	0.1285188	0.0004685998	0.001638096
a31	0.015478457	0.012564842	0.07015348	0.021445764	0.440333	0.39191058	0.043433927	0.0015671266	0.0031127448
a37	0.032771397	0.013586217	0.10078105	0.009550737	0.11055596	0.71804464	0.010860384	0.0020374262	0.0018121226
a31	0.023130054	0.017827373	0.068943545	0.012405486	0.12037274	0.7195634	0.027217738	0.0057638353	0.0047758245
a20	0.042827383	0.021437567	0.12235969	0.01321221	0.07596783	0.68380064	0.015701668	0.008647644	0.016045317
a31	0.06560757	0.03693845	0.09028654	0.016267546	0.058465295	0.6782106	0.027005583	0.010024938	0.017193412
a39	0.081916705	0.05776568	0.11386487	0.04685108	0.08245645	0.2389341	0.049025033	0.041620824	0.28756523
a31	0.14643648	0.078467004	0.1176354	0.045687683	0.06086704	0.20178346	0.051907524	0.03794054	0.25927484
a20	0.07775081	0.07247142	0.078436956	0.06961949	0.0735569	0.083786055	0.070127636	0.06847427	0.40577644
a31	0.09154252	0.07902127	0.08485613	0.07213323	0.07452612	0.090484954	0.07339827	0.07031443	0.36372304
a20	0.095125005	0.09407726	0.09481057	0.09345943	0.09397136	0.09512962	0.09364503	0.09325975	0.24652202
a39	0.08984193	0.08666499	0.08815159	0.08482179	0.08559277	0.09007324	0.085269295	0.08433616	0.30524817
a31	0.088478334	0.08634117	0.087552	0.08502799	0.085798904	0.08873916	0.08541005	0.084679134	0.30797324
a46	0.10023158	0.09969994	0.10004536	0.09934943	0.09961798	0.09988639	0.09947095	0.099256195	0.20244218
a31	0.08889176	0.0863257	0.08763444	0.08477935	0.085561916	0.08982166	0.085205115	0.08436571	0.30741435
a18	0.101745926	0.101543084	0.10172074	0.1013861	0.10158069	0.1017464	0.101463415	0.101344556	0.18746904
a31	0.08854969	0.086814836	0.08764482	0.085783124	0.08633822	0.08951721	0.08611768	0.085513785	0.30372056
a8	0.1030493	0.102917895	0.103035256	0.102803685	0.10294968	0.10280408	0.102855735	0.102775015	0.17680945
</S>	0.08441133	0.08388496	0.08418986	0.08355255	0.08397145	0.08643873	0.083801076	0.08346549	0.32628453
