 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
a31	0.110189304	0.0001300751	0.00027969046	0.045980502	0.16229713	0.094374664	0.26157922	0.14778668	0.17738275
a28	0.00073612115	0.0043454063	0.017710162	0.06316376	0.049224343	0.5450132	0.019510044	0.29888436	0.0014125805
a37	0.0007579182	0.0023669174	0.012103872	0.83295554	0.0007829278	0.013090771	0.002677563	0.12975577	0.005508656
a20	0.011196742	0.07797184	0.087537564	0.72732	0.0034489378	0.0064713056	0.0010965344	0.07686372	0.008093407
a37	0.052532796	0.05520122	0.11179317	0.42324743	0.036596302	0.021536082	0.007283735	0.28770572	0.004103512
a24	0.18515591	0.0032303776	0.0145849055	0.043795336	0.03035614	0.016205002	0.004270706	0.6996266	0.002775059
a21	0.08501837	0.0007449332	0.0057539744	0.011075016	0.026212823	0.01769421	0.008143104	0.84044063	0.0049168337
a28	0.0891372	0.0014258296	0.01027108	0.012792999	0.047084507	0.022296358	0.016120996	0.7980937	0.0027773113
a24	0.045040797	0.00632841	0.03651596	0.040432066	0.13587996	0.10819713	0.08037153	0.53794897	0.009285226
a31	0.016686058	0.0011375069	0.016258474	0.042411003	0.19287305	0.15426362	0.21152386	0.35297942	0.011867074
a20	0.019933537	0.005893675	0.027938925	0.15728864	0.2937201	0.18145703	0.16157329	0.1248992	0.027295638
a24	0.010700888	0.005328412	0.01812454	0.22360297	0.25278297	0.20884669	0.19027816	0.07070013	0.019635316
a20	0.036277227	0.021830799	0.032586705	0.2192648	0.23655608	0.14913048	0.15022662	0.07161615	0.08251113
a33	0.022973487	0.01678324	0.028586099	0.27140456	0.24113452	0.15272611	0.10641775	0.055042837	0.104931444
a20	0.01452939	0.012573508	0.01974643	0.391372	0.18708482	0.1102001	0.0981	0.032653376	0.13374037
a31	0.045608457	0.04348668	0.0491523	0.22958274	0.12981196	0.09935571	0.07291164	0.058385186	0.27170536
a3	0.10356571	0.09807281	0.09313517	0.062344793	0.10907183	0.08920467	0.06392527	0.09495603	0.28572375
a20	0.07591301	0.07417545	0.07355143	0.05852725	0.109268166	0.07707693	0.07746395	0.07626129	0.37776253
</S>	0.062893435	0.06207713	0.063283905	0.10238284	0.11446344	0.07802823	0.079799905	0.06629808	0.370773
