 	deve	essere	bianco	</S>
a31	0.21567026	0.49820414	0.0005897018	0.28553593
a11	0.7185911	0.27518252	0.001467409	0.004758982
a31	0.3876535	0.2963473	0.1626321	0.15336713
a37	0.68102163	0.08136637	0.029140444	0.20847157
a31	0.8790661	0.081822716	0.012187776	0.026923358
a37	0.7440412	0.20711358	0.005080321	0.043764856
a31	0.27258196	0.57110554	0.009719243	0.14659324
a20	0.15522371	0.68800676	0.081797235	0.07497232
a31	0.17839985	0.5513304	0.14008024	0.13018952
a0	0.20372784	0.22775753	0.19882041	0.3696942
a31	0.23144962	0.26273674	0.22891855	0.27689508
a20	0.17569903	0.18147217	0.17481995	0.4680088
a18	0.19671963	0.20626278	0.19602846	0.40098912
</S>	0.22431864	0.2575922	0.22557251	0.29251662
