 	il	ladro	poteva	entrare	da	qui	</S>
a39	0.59151727	0.007391674	0.027406594	0.13640487	0.17633484	0.040206447	0.020738376
a46	0.031796005	0.23836777	0.4698581	0.0025511147	0.24690834	0.010438817	7.988988e-05
a31	0.17794739	0.010368414	0.0015335305	0.004918092	0.2761049	0.52588487	0.0032428205
a35	0.13164699	0.077852786	0.0010136712	0.0005872702	0.19874837	0.5066699	0.08348112
a31	0.35910538	0.44119963	0.049372587	0.004883756	0.0926225	0.051966168	0.00084993703
a20	0.59997797	0.16467692	0.049667846	0.009027748	0.16425632	0.010239335	0.0021538083
a31	0.88336927	0.026562588	0.017358921	0.005411989	0.050920367	0.016199583	0.00017727543
a39	0.6217769	0.11794966	0.11240182	0.01740174	0.094517514	0.028896814	0.007055472
a3	0.7276991	0.06595505	0.055523008	0.006526798	0.09221071	0.043926086	0.008159264
a31	0.64123964	0.098001234	0.092819706	0.013988134	0.10309249	0.02321064	0.027648212
a7	0.400376	0.12885931	0.13700753	0.069660805	0.12164103	0.0123155145	0.1301399
a10	0.31018513	0.12178584	0.089550994	0.03495372	0.227922	0.013895872	0.20170644
a31	0.06845053	0.05856251	0.04156885	0.048556484	0.118116766	0.016086884	0.648658
a11	0.11006985	0.13935043	0.09818249	0.08746226	0.24203633	0.027142266	0.29575637
a18	0.15411615	0.11284026	0.10595251	0.117035545	0.2359462	0.049122073	0.22498721
a28	0.16775471	0.19722088	0.15506029	0.12561007	0.19458859	0.043862496	0.11590289
a31	0.10482765	0.08835135	0.08419142	0.09507918	0.19122282	0.19813894	0.23818871
a11	0.12519577	0.120114535	0.11498111	0.11882657	0.16486073	0.14485304	0.21116824
a13	0.1459821	0.08482301	0.09075395	0.12715633	0.2093214	0.12688933	0.21507385
a31	0.123115934	0.07540387	0.07954093	0.10586525	0.16085923	0.11724083	0.3379739
a20	0.082714975	0.08033521	0.07983933	0.08101892	0.085725605	0.078972444	0.5113935
a31	0.08956074	0.07819937	0.07934693	0.08565589	0.09628106	0.075152285	0.4958037
a8	0.07922055	0.078585565	0.0785642	0.07888492	0.07960337	0.07532176	0.52981967
</S>	0.09667819	0.09314732	0.09350575	0.09516853	0.09794739	0.07880646	0.44474626
